epoch,train_loss,test_loss,flow_mae,flow_rmse,flow_mape,lr
1,0.21956980300480256,0.5360161636186682,294.14658,363.82333882668934,9.613051265478134,0.0019781476007338056
2,0.044200653484253394,0.4057161131866365,270.98697,316.52844708256475,9.056995064020157,0.001913545457642601
3,0.0333971269930115,0.5796171556348386,312.1284,378.3312660552918,10.13125404715538,0.0018090169943749475
4,0.03135798127748397,0.5108433517778344,305.38306,355.1775414317465,10.130416601896286,0.0016691306063588583
5,0.02726781721517137,0.5768742326926808,307.75192,377.43501096215226,10.061459988355637,0.0015
6,0.025248911064508512,0.5240993239427273,305.9412,359.7562977211101,10.00707671046257,0.0013090169943749475
7,0.023858911042842837,0.5951713667556703,330.89154,383.3739810876581,10.927308350801468,0.0011045284632676536
8,0.02252176489807784,0.5179598207765889,309.9603,357.6429347128222,10.256581008434296,0.0008954715367323467
9,0.02163115629080774,0.5689325875679966,326.25095,374.82800222235267,10.746900737285614,0.0006909830056250527
10,0.020993642445236094,0.5379469768096335,318.13028,364.4780300306179,10.509549081325531,0.0005000000000000002
11,0.020571730195418778,0.5526324535311447,319.26187,369.4194770176581,10.540371388196945,0.0003308693936411421
12,0.020149120354730907,0.5605637252095188,323.78815,372.0609829046846,10.748305916786194,0.00019098300562505265
13,0.019909586107411698,0.5731509155906708,326.4541,376.2149900655209,10.857485979795456,8.645454235739902e-05
14,0.019728759501736064,0.5707824775588372,326.06735,375.43684971643364,10.843146592378616,2.1852399266194312e-05
15,0.019652767037054916,0.5707656516152408,326.4624,375.4313560759144,10.860999673604965,0.002
16,0.038586994922091195,0.7520571087188872,331.38434,430.95013125070517,10.86530014872551,0.0019945218953682734
17,0.02632037144697955,0.6720110391204065,331.22827,407.3707425368199,10.71375161409378,0.0019781476007338056
18,0.023211269342361836,0.5530826594282987,310.92432,369.56993587141255,10.266953706741333,0.0019510565162951536
19,0.02427577767847043,0.4929744307938301,277.91238,348.91030142072333,9.054476767778397,0.001913545457642601
20,0.022107420697983035,0.5986204549022343,301.5804,384.48321647374934,10.003451257944107,0.001866025403784439
21,0.021324223847878916,0.7076057680981903,339.18457,418.0202222979171,11.226043105125427,0.0018090169943749475
22,0.02078202229341998,0.7247337688334846,335.1985,423.0491992664683,10.889636725187302,0.0017431448254773942
23,0.023146066822898066,0.5389527507685861,291.03806,364.81859790175173,9.502609819173813,0.0016691306063588583
24,0.01967128359105089,0.696688405020906,330.0377,414.7829628251382,10.73133647441864,0.0015877852522924731
25,0.019966640200059796,0.5739533499531124,290.61176,376.47827377552613,9.488264471292496,0.0015
26,0.019601945533246873,0.6060943464516652,308.47293,386.8759491103059,10.30237078666687,0.0014067366430758003
27,0.019151607979217233,0.5628483767801594,300.9449,372.81838323103113,9.918046742677689,0.0013090169943749475
28,0.018300717347726824,0.6244080253976135,314.30798,392.6773484681794,10.375722497701645,0.0012079116908177592
29,0.01796379281858645,0.5892105250961696,310.19254,381.4493331361322,10.146166384220123,0.0011045284632676536
30,0.018158186424414004,0.604289408022236,308.7187,386.2994507179631,10.166814178228378,0.0010000000000000002
31,0.017703507359160573,0.4911071448458042,281.76367,348.2488895352001,9.375099837779999,0.0008954715367323467
32,0.017269194644704458,0.536992281557543,296.3292,364.1544572705379,9.880310297012329,0.0007920883091822406
