datetime,f1,f2,f3,pressure,level,states_actual,states_opt,states_same,eff_actual,eff_sur_actual,eff_opt,eff_same_state,opt_feasible,opt_violation,opt_pred_total,d_vs_measured,d_vs_surrogate,d_same_state
2026-06-11 02:17:11,2464.0,532.0,0.0,0.3330559702948027,3.272569417953491,1101100,1101100,1101100,53.98509560344458,51.245304107666016,52.63678741455078,52.63678741455078,0,89.8310546875,2793.58642578125,-1.348308188893796,1.3914833068847656,1.3914833068847656
2026-06-11 02:27:11,2304.0,506.0,0.0,0.3313078093061259,3.373408555984497,1101100,1110100,1101100,46.00257515849356,51.02423858642578,53.1147346496582,52.64211654663086,1,0.0,2775.556884765625,7.11215949116464,2.090496063232422,1.6178779602050781
2026-06-11 02:37:11,2336.0,524.0,0.0,0.3316694949654971,3.4545717239379883,1101100,0111100,1101100,52.080267219473534,50.987030029296875,53.02303695678711,52.63136291503906,1,0.0,2816.22265625,0.9427697373135757,2.0360069274902344,1.6443328857421875
2026-06-11 02:47:11,2304.0,512.0,0.0,0.3304269870589761,3.522279977798462,1101100,1110100,1101100,90.0,50.84375,53.06785202026367,52.56647491455078,1,0.0,2777.571044921875,-36.93214797973633,2.224102020263672,1.7227249145507812
2026-06-11 02:57:11,2096.0,442.0,519.5048828125,0.3286618042693418,3.654369115829468,1001101,1100101,,50.83832754633176,53.22245788574219,52.76266098022461,,1,0.0,3114.016845703125,1.9243334338928477,-0.4597969055175781,
2026-06-11 03:07:11,2112.0,432.0,533.9910278320312,0.3268228665753906,3.764467477798462,1001101,1101101,,54.597534209053045,53.06740188598633,52.797889709472656,,1,0.0,3122.3154296875,-1.7996444995803884,-0.2695121765136719,
2026-06-11 03:17:11,2048.0,428.0,511.5124816894531,0.3278667945955313,3.8645832538604736,1001101,1100101,,56.9887994466912,53.213043212890625,52.82931137084961,,1,0.0,3066.3330078125,-4.159488075841594,-0.3837318420410156,
2026-06-11 03:27:11,2008.0,380.0,528.995849609375,0.3256867383508121,3.991029977798462,1001101,1101101,,51.22444526209059,53.04707717895508,52.72316360473633,,1,0.0,3052.778564453125,1.4987183426457378,-0.32391357421875,
2026-06-11 03:37:11,2000.0,390.0,528.995849609375,0.3256817502601474,4.083767414093018,1001101,0100111,,57.07283836857785,52.935081481933594,51.829586029052734,,0,42.2459716796875,2989.7578125,-5.243252339525114,-1.1054954528808594,
2026-06-11 03:47:11,2016.0,382.0,531.992919921875,0.3247654714303857,4.118200302124023,1001101,1001101,1001101,55.75502965843574,52.81198501586914,53.92219543457031,53.92219543457031,1,0.0,2905.07568359375,-1.8328342238654258,1.1102104187011719,1.1102104187011719
