timestamp,rank,Total_Flow,Pressure,q_170_1,q_170_2,q_70_3,states,freqs,pred_170_1,pred_170_2,pred_70_3,efficiency,kwt,feasible,num_candidates
2026-07-10 19:30:00,1,1933.1,0.33,1547.3,385.8,0.0,1001100,32 0 0 50 32 0 0,1647.3,323.2,0.0,52.23,172.19,True,5
2026-07-10 20:00:00,1,1932.1,0.33,1550.4,381.7,0.0,1001100,31 0 0 50 33 0 0,1650.4,325.9,0.0,52.25,172.17,True,5
2026-07-10 20:30:00,1,1946.2,0.33,1560.8,385.4,0.0,1001100,30 0 0 50 36 0 0,1660.8,329.4,0.0,52.29,171.41,True,5
2026-07-10 21:00:00,2,2155.5,0.33,1724.0,431.5,0.0,1001100,44 0 0 34 40 0 0,1800.6,385.5,0.0,52.26,173.18,True,5
2026-07-10 21:30:00,1,2344.6,0.33,1870.2,474.4,0.0,1001100,41 0 0 47 46 0 0,1969.8,415.3,0.0,53.35,170.85,True,5
2026-07-10 22:00:00,4,2586.7,0.33,2048.1,538.6,0.0,1010100,30 0 35 0 50 0 0,1962.5,525.0,0.0,52.52,166.2,True,5
2026-07-10 22:30:00,1,2901.7,0.33,285.7,2616.0,0.0,0000110,0 0 0 0 30 50 0,1278.2,382.0,0.0,51.01,167.81,False,5
2026-07-10 23:00:00,2,3020.4,0.3,2323.3,610.9,86.2,1110100,34 30 43 0 50 0 0,2279.1,631.5,0.0,51.65,160.32,True,5
2026-07-10 23:30:00,1,3169.7,0.3,2130.8,552.8,486.1,1110101,30 30 30 0 50 0 50,2162.2,563.5,493.2,52.75,155.84,True,5
2026-07-11 00:00:00,1,3199.8,0.3,2165.2,561.1,473.6,1110101,30 30 30 0 50 0 50,2162.2,563.5,493.2,52.75,155.84,True,5
