epoch,train_loss,test_loss,flow_mae,flow_rmse,flow_mape,lr
1,0.8154696917651033,1.531907115708092,248.1939,293.1164444380424,41.635411977767944,0.0019781476007338056
2,0.6541203248998749,1.1400334063059951,211.79584,252.8615063750313,63.74419331550598,0.001913545457642601
3,0.5691590036455477,1.138854180572867,213.16258,252.7307114301703,59.266746044158936,0.0018090169943749475
4,0.5171850259971853,0.9245137414944652,188.94246,227.70923585518003,47.226378321647644,0.0016691306063588583
5,0.48458387820960847,0.9914560072288712,186.53964,235.80917039790882,51.94610953330994,0.0015
6,0.4497680634919197,1.0510885912358219,181.90831,242.79716811311866,49.38412010669708,0.0013090169943749475
7,0.3952306897985847,1.09084869012411,176.88971,247.34676443204185,49.61123168468475,0.0011045284632676536
8,0.3635181215822843,1.0435535621736078,183.44685,241.92531776356108,47.843414545059204,0.0008954715367323467
9,0.3285198021799106,1.0750919608362939,181.4886,245.5538542000512,52.51378417015076,0.0006909830056250527
10,0.31245345301944444,1.1422129165676698,179.02657,253.10312405470225,45.68053185939789,0.0005000000000000002
11,0.2963214657157293,1.1770947635251308,176.88965,256.93879986292455,50.92267990112305,0.0003308693936411421
12,0.26128764183281095,1.1626195349525879,177.55219,255.35405873512173,51.07768177986145,0.00019098300562505265
13,0.24488106777832022,1.1820097650136068,175.49849,257.47466501580305,50.96879601478577,8.645454235739902e-05
14,0.2381952880055664,1.2095628814052388,176.19373,260.45829500612956,51.332587003707886,2.1852399266194312e-05
15,0.23413188295663134,1.1857489190114026,174.27823,257.8815740800416,49.67016577720642,0.002
16,0.31092688230390336,1.2295387983322144,183.83954,262.6002040888392,52.31746435165405,0.0019945218953682734
17,0.28672228440898645,1.1331994983092706,168.03088,252.10249496732476,54.6980082988739,0.0019781476007338056
18,0.26804793110936515,1.260660532624576,177.723,265.9028693668047,52.782636880874634,0.0019510565162951536
19,0.26104636596520353,1.0552595202727497,165.18964,243.2784300575166,47.41105139255524,0.001913545457642601
20,0.22497854089268302,1.1562898197781746,168.64952,254.6579890878156,46.053487062454224,0.001866025403784439
21,0.22782923460592508,1.1152393515615378,160.33936,250.09673128611658,45.61569690704346,0.0018090169943749475
22,0.22277646156288775,1.1689431351089974,167.03499,256.0475572281446,48.959025740623474,0.0017431448254773942
23,0.19943470992971696,1.1534249222945174,164.10045,254.34231208894442,45.943883061409,0.0016691306063588583
24,0.19639528008585186,1.1414306340509026,165.13724,253.01642733229792,46.67905867099762,0.0015877852522924731
25,0.18120478101678797,1.1578132132714996,162.50697,254.8256833724772,45.27028799057007,0.0015
26,0.1715909968869399,1.093630357821059,160.26755,247.6619183105267,44.7997123003006,0.0014067366430758003
27,0.15510663171950956,1.2176491938269804,166.45374,261.32747057092945,49.64614510536194,0.0013090169943749475
28,0.14677577152738408,1.1295541948087813,165.93208,251.69668005359148,46.151572465896606,0.0012079116908177592
29,0.1441719281146216,1.1679506390240475,162.25911,255.9388354666013,46.137115359306335,0.0011045284632676536
30,0.13061803105934833,1.1728024891976108,163.80157,256.4698904111358,45.419690012931824,0.0010000000000000002
31,0.12523023994314583,1.1550700816438475,157.3179,254.52363593583996,44.44682002067566,0.0008954715367323467
32,0.11714756828195047,1.1783191993425663,162.13846,257.0723846263927,48.05841147899628,0.0007920883091822406
33,0.1046770686050305,1.2427768318953842,161.92397,264.0101057488141,47.733309864997864,0.0006909830056250527
34,0.09674040116461255,1.2217768740747004,160.68675,261.7700117708291,46.16337716579437,0.0005932633569241998
