epoch,train_loss,test_loss,flow_mae,flow_rmse,flow_mape,lr
1,0.649682786482265,1.150432225786663,426.0947,529.4300296073127,15.030616521835327,0.0019781476007338056
2,0.36419685400967516,0.8736013603458479,376.88666,461.35442584850097,13.481591641902924,0.001913545457642601
3,0.2788230178323952,0.49061828657926604,278.96167,345.74021587747063,10.388817638158798,0.0018090169943749475
4,0.15150733039478706,0.36641044269457596,235.95224,298.7871838784254,8.03748443722725,0.0016691306063588583
5,0.1225275782753853,0.4943760106405449,267.73877,347.06175152989704,9.17934775352478,0.0015
6,0.10008585879565457,0.39559972797785686,250.70403,310.46028077275844,8.622310310602188,0.0013090169943749475
7,0.09285113486742798,0.3470067016790065,233.77672,290.7682308342849,8.063418418169022,0.0011045284632676536
8,0.08515314057066634,0.34258549762175206,228.43271,288.90999355335566,7.885214686393738,0.0008954715367323467
9,0.07523671159433791,0.28949451012481175,209.93141,265.58173177008996,7.24363848567009,0.0006909830056250527
10,0.06946321545347242,0.36544999778658266,238.2004,298.39534388123417,8.158426731824875,0.0005000000000000002
11,0.0640626108031308,0.2655480208725551,197.23726,254.36044184385275,6.743180006742477,0.0003308693936411421
12,0.060711220659187444,0.2646483719271398,194.78891,253.9292085774104,6.687977164983749,0.00019098300562505265
13,0.05753585543913689,0.23937683328695508,184.00778,241.50109989397563,6.314130127429962,8.645454235739902e-05
14,0.055668751044194296,0.25591384294904257,190.70345,249.70366812483954,6.551744043827057,2.1852399266194312e-05
15,0.05491471563532253,0.2619460258434281,193.5855,252.62943000816432,6.645199656486511,0.002
16,0.09726430806319895,0.3130107042228292,212.61339,276.1580163601991,7.297641038894653,0.0019945218953682734
17,0.0728805899784811,0.3041511388066841,199.75418,272.22173292189586,6.859070807695389,0.0019781476007338056
18,0.0703744996604521,0.31516561133033744,203.08704,277.1069711095338,7.012841105461121,0.0019510565162951536
19,0.067744145313557,0.31032908040308366,201.05136,274.9724986248625,6.899470090866089,0.001913545457642601
20,0.07219363369358846,0.19669458614989282,172.23663,218.91436681953974,5.9446536004543304,0.001866025403784439
21,0.060010232110061575,0.16728481863503028,157.3202,201.88604845927318,5.4787639528512955,0.0018090169943749475
22,0.051905034683846135,0.2694873034721543,188.46742,256.2401674942865,6.493394821882248,0.0017431448254773942
23,0.0533687202712974,0.2100052712642635,178.24161,226.20027077791042,6.222090870141983,0.0016691306063588583
24,0.050357313941093274,0.21722778728321407,182.83745,230.05715152707162,6.379672139883041,0.0015877852522924731
25,0.044682531609801755,0.2180771325050002,186.2334,230.5064651343862,6.497259438037872,0.0015
26,0.04441608712809385,0.1927102507710922,175.23872,216.6857964311459,6.111140921711922,0.0014067366430758003
27,0.042011917413599074,0.27010724959974947,203.19109,256.5347350993623,7.056703418493271,0.0013090169943749475
28,0.04007335419260899,0.22713671758364018,190.92036,235.24571595461626,6.671864539384842,0.0012079116908177592
29,0.03793438701759978,0.21898726423323078,183.71767,230.98697034410836,6.3959188759326935,0.0011045284632676536
30,0.037369939415768265,0.2281198679470737,189.89787,235.75429145086628,6.6469162702560425,0.0010000000000000002
31,0.03860624866052107,0.18244809075046733,170.23196,210.83742996678745,5.945390462875366,0.0008954715367323467
32,0.03595714322874821,0.2652354294673984,209.14925,254.21069632295175,7.296731323003769,0.0007920883091822406
33,0.034511574165534034,0.21346188920837075,186.43861,228.05427842127847,6.535227596759796,0.0006909830056250527
34,0.03370301952489471,0.2445493360644664,201.23894,244.0963484850808,7.051430642604828,0.0005932633569241998
35,0.0338755483187607,0.2313960047707601,194.71545,237.44114402310313,6.821230798959732,0.0005000000000000002
36,0.03323569769172469,0.23775757843403264,196.88397,240.6828907634483,6.85310885310173,0.00041221474770752696
37,0.03280944037971977,0.23380838483765778,195.38739,238.6756346880636,6.826601922512054,0.0003308693936411421
38,0.03200099807534669,0.24110790064027932,198.9565,242.3727356134555,6.9769203662872314,0.00025685517452260585
39,0.032069153320364634,0.24356596158291802,199.89287,243.6050851275482,6.992122530937195,0.00019098300562505265
40,0.03149186340538231,0.24831043759310045,202.34238,245.96627055350496,7.0767126977443695,0.0001339745962155613
41,0.03140054175982604,0.2502715492085766,203.57373,246.93563337689844,7.13266134262085,8.645454235739902e-05
42,0.03138314861557115,0.25232564810038544,204.39183,247.9469291753782,7.153145968914032,4.894348370484647e-05
43,0.031258163143507676,0.2550754794761325,205.55148,249.2943400255008,7.19393864274025,2.1852399266194312e-05
44,0.03106342161792795,0.24922113591424822,202.85408,246.41688507486657,7.101326435804367,5.478104631726599e-06
45,0.031070770741570785,0.2519315945466566,204.08055,247.75324796054642,7.144558429718018,0.002
46,0.06715668926807235,0.31502482050882047,224.53587,277.04508037952957,7.76878148317337,0.0019986295347545736
47,0.053933358283974324,0.24304061073940658,189.11519,243.34220695863675,6.58150315284729,0.0019945218953682734
48,0.049590476807344165,0.21819813803361512,181.29646,230.57040342919123,6.3670240342617035,0.0019876883405951376
49,0.056201681584412695,0.2998068256713014,190.07951,270.2706109161705,6.557312607765198,0.0019781476007338056
50,0.05028633430087596,0.34653777961458126,230.03362,290.5717155454054,7.960684597492218,0.0019659258262890683
51,0.0476944634256111,0.23887324798246665,193.91379,241.24693974742976,6.786976754665375,0.0019510565162951536
