epoch,train_loss,test_loss,flow_mae,flow_rmse,flow_mape,lr
1,0.7451796953596119,1.157779417515421,445.32327,531.1178953396317,17.40664690732956,0.0009890738003669028
2,0.29131006721489555,1.0666261064990754,410.2076,509.78160152167123,16.214661300182343,0.0009567727288213005
3,0.19965478777153192,0.6635339784064126,320.2261,402.0773790578127,12.407916784286499,0.0009045084971874737
4,0.12759231376193958,0.7744316229274586,324.5964,434.37976616090214,12.010224908590317,0.0008345653031794292
5,0.1141227670874291,0.6659085305676503,307.76056,402.7961643312905,11.871307343244553,0.00075
6,0.08123212569102609,0.4388030465154561,238.17831,326.97371836280666,8.53947401046753,0.0006545084971874737
7,0.05505964086191953,0.3329569538486019,217.36552,284.82105127606,7.573284208774567,0.0005522642316338268
8,0.047825029563772006,0.22191430843387996,180.62132,232.5255614308887,6.46965429186821,0.00044773576836617336
9,0.040686382175736696,0.2361054062378267,189.20927,239.84518932792878,6.689485162496567,0.00034549150281252633
10,0.03842884214270027,0.23210846625936976,183.89511,237.8064059665971,6.561651825904846,0.0002500000000000001
11,0.03528817160563035,0.2583421944641788,194.23795,250.88558771878468,6.848763674497604,0.00016543469682057105
12,0.03277379675637885,0.24872291374888625,191.46773,246.17045034894014,6.733482331037521,9.549150281252633e-05
13,0.03177269763823516,0.28784904639649606,202.86183,264.82588619695014,7.123459875583649,4.322727117869951e-05
14,0.031048749045855584,0.27389147075472015,199.04514,258.32552743583045,7.001272588968277,1.0926199633097156e-05
15,0.03017881609206557,0.2747862599450993,199.32033,258.7471316266134,7.001885026693344,0.001
16,0.051844937264626384,0.2801398224111341,202.42274,261.2555172862384,7.09439292550087,0.0009972609476841367
17,0.04442548168964995,0.22595586101627474,183.06546,234.63341587197252,6.438528746366501,0.0009890738003669028
18,0.038310886194577086,0.4113115469873029,239.52628,316.56544297743557,8.349677175283432,0.0009755282581475768
19,0.03785794580341557,0.3041536317380104,206.10051,272.22283783235383,7.15973898768425,0.0009567727288213005
20,0.031046324484141803,0.28856671182014854,202.5283,265.155820933654,7.049571722745895,0.0009330127018922195
21,0.035790329201362055,0.41502295467416395,241.0096,317.99046762442424,8.344795554876328,0.0009045084971874737
22,0.030309909847576436,0.314552878139853,214.33495,276.8374692396244,7.487139105796814,0.0008715724127386971
23,0.029726032871542456,0.30270131845002984,208.30644,271.5721301514572,7.201231271028519,0.0008345653031794292
24,0.026510720763181585,0.30354790027181877,206.30637,271.951641496241,7.131224870681763,0.0007938926261462366
25,0.025461131261995736,0.3250496148753073,213.8919,281.41863000252846,7.36224502325058,0.00075
26,0.024584686368960128,0.336794393425335,220.70256,286.4576893932156,7.647471129894257,0.0007033683215379002
27,0.02345449962088019,0.43395071741198377,246.86682,325.160849619077,8.517610281705856,0.0006545084971874737
28,0.021893775485986866,0.3370308221084089,221.06667,286.5582265221154,7.631836831569672,0.0006039558454088796
29,0.02185871606230443,0.37396958753253456,231.08011,301.8534800818106,7.98206552863121,0.0005522642316338268
30,0.021183187900802133,0.37086126553221704,228.74583,300.59642535715557,7.865744084119797,0.0005000000000000001
31,0.020774684089444193,0.4026269188782949,237.4071,313.20555351078946,8.249728381633759,0.00044773576836617336
32,0.02054946586599514,0.37064785935633826,229.04161,300.50989220406706,7.890515029430389,0.0003960441545911203
33,0.019937748695364455,0.361091111354307,226.37202,296.6104479152749,7.801748067140579,0.00034549150281252633
34,0.019767668068921537,0.3546073336750075,223.19316,293.935420203146,7.695770263671875,0.0002966316784620999
35,0.018904110988835446,0.35204591304645116,223.65836,292.8718789846509,7.728701829910278,0.0002500000000000001
36,0.018727077379895957,0.35920483385477947,223.2886,295.8347168394879,7.720901817083359,0.00020610737385376348
37,0.018353045141411353,0.35295448741925245,222.25717,293.24958706279534,7.686807215213776,0.00016543469682057105
38,0.01823449108008231,0.3484402231494224,220.9096,291.36821635174965,7.63230174779892,0.00012842758726130292
