epoch,train_loss,test_loss,flow_mae,flow_rmse,flow_mape,lr
1,0.43333920633397305,1.2611598109376843,482.14032,558.0673962435003,18.3326855301857,0.0019781476007338056
2,0.19529851179898383,1.184724945035474,473.5779,540.8917694419097,17.119482159614563,0.001913545457642601
3,0.13699561542702077,1.1485251767881985,408.32816,532.5640806513335,15.509103238582611,0.0018090169943749475
4,0.10917617823440716,0.6613036163922014,355.5035,404.11227941625333,12.881886959075928,0.0016691306063588583
5,0.09902536592559825,0.8544560740733969,395.16025,459.35292463965004,14.216476678848267,0.0015
6,0.08949227867936564,0.6861813224595169,356.40485,411.6433149584723,12.667141854763031,0.0013090169943749475
7,0.08109038097730162,0.853947979828407,406.1761,459.2163161299912,15.633277595043182,0.0011045284632676536
8,0.06815479743780285,0.6095741884461765,345.81967,387.98493849632877,12.199773639440536,0.0008954715367323467
9,0.05777639284255976,0.7285221815109253,377.4437,424.1534399542222,13.31472396850586,0.0006909830056250527
10,0.0522015125112381,0.5097987088663825,312.75824,354.81417891975514,11.052799969911575,0.0005000000000000002
11,0.04483806899692604,0.4622767267556026,286.97314,337.872329345716,10.186000913381577,0.0003308693936411421
12,0.04068392344973374,0.40901202991090974,276.50455,317.81153515094445,9.952334314584732,0.00019098300562505265
13,0.03805387341730983,0.47368606164537624,283.54654,342.01637844553585,10.022751241922379,8.645454235739902e-05
14,0.036869964075025886,0.42611429156928227,271.00064,324.3879212262688,9.59269180893898,2.1852399266194312e-05
15,0.036085419466540924,0.4325969280867741,270.9063,326.8461148805352,9.572738409042358,0.002
16,0.06969309444748627,0.8367290167972959,401.6293,454.56292537447445,14.10495638847351,0.0019945218953682734
17,0.06269733856975061,0.5208546712480743,293.2171,358.64097864368483,10.351178050041199,0.0019781476007338056
18,0.05318070836211618,0.37267136286044944,259.79086,303.3644028845507,9.121894091367722,0.0019510565162951536
19,0.046472709382385534,0.3741121026976355,266.392,303.950242638495,9.650278836488724,0.001913545457642601
20,0.04841272768431215,0.504230220153414,295.18143,352.87105913491973,10.142001509666443,0.001866025403784439
21,0.04308111972897666,0.4026662382586249,265.65305,315.33647703683124,9.454630315303802,0.0018090169943749475
22,0.04105421685921451,0.3576400201896141,262.19202,297.18348446288195,9.268341958522797,0.0017431448254773942
23,0.038883146286250655,0.2822177138821832,236.74672,263.9938150317162,8.443761616945267,0.0016691306063588583
24,0.037027926685099466,0.22910700810366663,212.53978,237.85965366944853,8.04426521062851,0.0015877852522924731
25,0.038696124058398944,0.2323853996293298,213.0307,239.55543949939855,7.685447484254837,0.0015
26,0.03522333490188478,0.27983948362284694,232.5299,262.87913097087034,8.281253278255463,0.0014067366430758003
27,0.03457352278167856,0.298443504654128,234.98439,271.4767773217444,8.172347396612167,0.0013090169943749475
28,0.03326187984446997,0.3328918436477924,255.83446,286.71682730962965,9.26830843091011,0.0012079116908177592
29,0.03270775042203632,0.2760179922498506,234.00542,261.07800857693854,8.501219749450684,0.0011045284632676536
30,0.03171915068619733,0.3295559673473753,251.32217,285.27663383547554,8.896975219249725,0.0010000000000000002
31,0.03071518589067899,0.2875028610229492,236.73985,266.4542790283166,8.613818883895874,0.0008954715367323467
32,0.030233751656953887,0.2741988360881805,231.00592,260.21624120623216,8.365599811077118,0.0007920883091822406
33,0.02958506188815653,0.24820778184923634,217.22026,247.57644021594623,7.78486430644989,0.0006909830056250527
34,0.028863171743104318,0.2825206347580614,234.77121,264.1354411092915,8.419974148273468,0.0005932633569241998
35,0.028399138362306918,0.25651577978298584,221.4301,251.68576172729755,8.036169409751892,0.0005000000000000002
36,0.027581731118254498,0.24412435005451072,215.7409,245.53146278786758,7.7961549162864685,0.00041221474770752696
37,0.027366196985021688,0.26413453303534407,224.40129,255.39605425936008,8.08589681982994,0.0003308693936411421
38,0.027112752334491785,0.2491450202876124,217.41878,248.04342960205577,7.88077637553215,0.00025685517452260585
39,0.026863278376021555,0.2758472389188306,227.25098,260.99724615405427,8.153259009122849,0.00019098300562505265
40,0.02632642572501741,0.2634538204505526,222.03348,255.06676515669383,7.982443273067474,0.0001339745962155613
41,0.026166056808550185,0.25583832901099635,218.52649,251.3531893198294,7.837110757827759,8.645454235739902e-05
42,0.025760897262807846,0.2780855347370279,228.16356,262.0540110120431,8.217543363571167,4.894348370484647e-05
43,0.025802531163505338,0.2671811126429459,223.76042,256.8647351963675,8.069737255573273,2.1852399266194312e-05
44,0.025711734832392304,0.2651930229417209,221.47112,255.90728606763037,7.949037849903107,5.478104631726599e-06
45,0.025630753854537978,0.26767951106203014,223.35426,257.10420127353035,8.044087141752243,0.002
46,0.08249936187221076,0.39163748231427425,258.41882,310.98806749616614,8.85983482003212,0.0019986295347545736
47,0.046889692749743986,0.3883733346544463,266.84732,309.6893731023072,9.372284263372421,0.0019945218953682734
48,0.03896620316146025,0.3785283586074566,267.9507,305.7389869234867,9.52821969985962,0.0019876883405951376
49,0.03503453737863934,0.3125631620144022,238.88458,277.82447246418013,8.592863380908966,0.0019781476007338056
50,0.034811936554402234,0.3186862842790012,243.05396,280.5325710813274,8.698252588510513,0.0019659258262890683
51,0.032327743298353084,0.24227012005345575,213.10645,244.59723750228662,7.650459557771683,0.0019510565162951536
52,0.03228150901742881,0.28894712390570804,236.7111,267.12268950802365,8.502761274576187,0.0019335804264972018
53,0.03000738165889359,0.31349675100425195,247.10019,278.23907772812936,8.906450122594833,0.001913545457642601
54,0.030971369330675996,0.27448648666513376,225.30992,260.35270547854884,8.200377225875854,0.0018910065241883678
