timestamp,pred_total_flow,actual_total_flow
2026-07-16 06:45:00,2945.0088,
2026-07-16 07:00:00,2956.4014,
2026-07-16 07:15:00,2947.9126,
2026-07-16 07:30:00,2939.5854,
2026-07-16 07:45:00,2937.6096,
2026-07-16 08:00:00,2942.5183,
2026-07-16 08:15:00,2953.113,
2026-07-16 08:30:00,2967.7913,
2026-07-16 08:45:00,2985.0977,
2026-07-16 09:00:00,3003.9841,
2026-07-16 09:15:00,3023.858,
2026-07-16 09:30:00,3044.5046,
2026-07-16 09:45:00,3065.965,
2026-07-16 10:00:00,3088.4126,
2026-07-16 10:15:00,3112.0544,
2026-07-16 10:30:00,3137.08,
2026-07-16 10:45:00,3163.681,
2026-07-16 11:00:00,3192.1304,
2026-07-16 11:15:00,3222.8586,
2026-07-16 11:30:00,3256.3608,
2026-07-16 11:45:00,3292.7944,
2026-07-16 12:00:00,3331.4841,
2026-07-16 12:15:00,3371.0574,
2026-07-16 12:30:00,3410.0408,
2026-07-16 12:45:00,3446.3035,
2026-07-16 13:00:00,3475.853,
2026-07-16 13:15:00,3493.464,
2026-07-16 13:30:00,3493.7812,
2026-07-16 13:45:00,3470.0762,
2026-07-16 14:00:00,3414.9595,
2026-07-16 14:15:00,3326.7651,
2026-07-16 14:30:00,3211.783,
2026-07-16 14:45:00,3081.2617,
2026-07-16 15:00:00,2946.7402,
2026-07-16 15:15:00,2817.231,
2026-07-16 15:30:00,2696.9602,
2026-07-16 15:45:00,2585.2432,
2026-07-16 16:00:00,2481.8037,
2026-07-16 16:15:00,2388.6455,
2026-07-16 16:30:00,2307.1975,
2026-07-16 16:45:00,2236.0195,
2026-07-16 17:00:00,2173.971,
2026-07-16 17:15:00,2124.6045,
2026-07-16 17:30:00,2091.1147,
2026-07-16 17:45:00,2070.2625,
2026-07-16 18:00:00,2055.3977,
2026-07-16 18:15:00,2042.2257,
2026-07-16 18:30:00,2029.4565,
2026-07-16 18:45:00,2017.4127,
2026-07-16 19:00:00,2007.1436,
2026-07-16 19:15:00,2000.0613,
2026-07-16 19:30:00,1997.8688,
2026-07-16 19:45:00,2002.6477,
2026-07-16 20:00:00,2017.0299,
2026-07-16 20:15:00,2044.3196,
2026-07-16 20:30:00,2088.2588,
2026-07-16 20:45:00,2151.94,
2026-07-16 21:00:00,2235.7678,
2026-07-16 21:15:00,2335.6414,
2026-07-16 21:30:00,2442.7893,
2026-07-16 21:45:00,2545.6763,
2026-07-16 22:00:00,2635.3108,
2026-07-16 22:15:00,2714.1008,
2026-07-16 22:30:00,2796.227,
2026-07-16 22:45:00,2885.2039,
2026-07-16 23:00:00,2961.828,
2026-07-16 23:15:00,3009.071,
2026-07-16 23:30:00,3032.007,
2026-07-16 23:45:00,3052.692,
2026-07-17 00:00:00,3086.6294,
2026-07-17 00:15:00,3119.9438,
2026-07-17 00:30:00,3134.9043,
2026-07-17 00:45:00,3125.1094,
2026-07-17 01:00:00,3088.0083,
2026-07-17 01:15:00,3021.2703,
2026-07-17 01:30:00,2928.7686,
2026-07-17 01:45:00,2820.1064,
2026-07-17 02:00:00,2703.5217,
2026-07-17 02:15:00,2583.1802,
2026-07-17 02:30:00,2462.3398,
2026-07-17 02:45:00,2346.9841,
2026-07-17 03:00:00,2244.5122,
2026-07-17 03:15:00,2158.0474,
2026-07-17 03:30:00,2085.2717,
2026-07-17 03:45:00,2025.4991,
2026-07-17 04:00:00,1982.3447,
2026-07-17 04:15:00,1954.233,
2026-07-17 04:30:00,1934.2438,
2026-07-17 04:45:00,1917.0646,
2026-07-17 05:00:00,1900.4241,
2026-07-17 05:15:00,1883.7886,
2026-07-17 05:30:00,1867.3607,
2026-07-17 05:45:00,1851.589,
2026-07-17 06:00:00,1836.9512,
2026-07-17 06:15:00,1823.8772,
2026-07-17 06:30:00,1812.7449,
