泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
0010011,0.0|0.0|47.4|0.0|0.0|50.0|50.0,170:1_瞬时流量,63,29.11,38.88,-1.2142,1.88
0010011,0.0|0.0|47.4|0.0|0.0|50.0|50.0,170:2_瞬时流量,63,3.16,3.43,-1.086,0.62
0010011,0.0|0.0|47.4|0.0|0.0|50.0|50.0,70:3_瞬时流量,63,4.45,5.31,0.8283,0.87
0010011,0.0|0.0|47.4|0.0|0.0|50.0|50.0,总管效率_pct,63,0.7,0.85,-1.5181,1.38
0010011,0.0|0.0|48.2|0.0|0.0|50.0|50.0,170:1_瞬时流量,146,37.6,40.47,0.0661,2.29
0010011,0.0|0.0|48.2|0.0|0.0|50.0|50.0,170:2_瞬时流量,146,5.82,6.85,-0.0646,1.12
0010011,0.0|0.0|48.2|0.0|0.0|50.0|50.0,70:3_瞬时流量,146,6.86,8.36,0.5794,1.31
0010011,0.0|0.0|48.2|0.0|0.0|50.0|50.0,总管效率_pct,146,2.15,2.39,-1.825,4.13
0010011,0.0|0.0|48.4|0.0|0.0|50.0|50.0,170:1_瞬时流量,195,39.6,47.93,-0.953,2.51
0010011,0.0|0.0|48.4|0.0|0.0|50.0|50.0,170:2_瞬时流量,195,8.19,11.45,-0.2426,1.6
0010011,0.0|0.0|48.4|0.0|0.0|50.0|50.0,70:3_瞬时流量,195,8.11,9.59,0.6522,1.62
0010011,0.0|0.0|48.4|0.0|0.0|50.0|50.0,总管效率_pct,195,2.95,3.33,-0.9438,6.35
0010011,0.0|0.0|48.9|0.0|0.0|50.0|50.0,170:1_瞬时流量,168,34.17,36.47,-0.6438,2.02
0010011,0.0|0.0|48.9|0.0|0.0|50.0|50.0,170:2_瞬时流量,168,4.76,5.26,0.1151,0.89
0010011,0.0|0.0|48.9|0.0|0.0|50.0|50.0,70:3_瞬时流量,168,4.84,6.0,0.4484,0.93
0010011,0.0|0.0|48.9|0.0|0.0|50.0|50.0,总管效率_pct,168,1.51,2.22,-0.0146,2.98
0010011,0.0|0.0|49.7|0.0|0.0|50.0|50.0,170:1_瞬时流量,293,13.97,19.95,0.1019,0.84
0010011,0.0|0.0|49.7|0.0|0.0|50.0|50.0,170:2_瞬时流量,293,4.91,5.69,-0.0595,0.9
0010011,0.0|0.0|49.7|0.0|0.0|50.0|50.0,70:3_瞬时流量,293,5.07,6.4,0.7527,1.02
0010011,0.0|0.0|49.7|0.0|0.0|50.0|50.0,总管效率_pct,293,1.97,2.29,-0.0408,4.02
