泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
1010011,45.0|0.0|50.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,282,13.62,16.65,0.0267,0.6
1010011,45.0|0.0|50.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,282,4.98,5.92,0.2024,0.71
1010011,45.0|0.0|50.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,282,8.38,10.04,0.3246,1.71
1010011,45.0|0.0|50.0|0.0|0.0|50.0|50.0,总管效率_pct,282,1.56,1.65,0.0155,3.15
1010011,45.7|0.0|50.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,377,21.47,27.23,-0.1161,0.94
1010011,45.7|0.0|50.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,377,5.71,6.83,-0.1688,0.8
1010011,45.7|0.0|50.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,377,5.71,7.18,0.3913,1.2
1010011,45.7|0.0|50.0|0.0|0.0|50.0|50.0,总管效率_pct,377,1.23,1.52,-0.0459,2.54
1010011,45.9|0.0|50.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,338,34.82,41.3,-0.0941,1.53
1010011,45.9|0.0|50.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,338,3.85,5.19,0.0183,0.54
1010011,45.9|0.0|50.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,338,5.45,6.84,0.212,1.15
1010011,45.9|0.0|50.0|0.0|0.0|50.0|50.0,总管效率_pct,338,1.73,2.49,-0.3256,3.29
1010011,46.7|0.0|50.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,341,28.67,35.47,-0.4055,1.23
1010011,46.7|0.0|50.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,341,6.51,8.27,-1.3039,0.88
1010011,46.7|0.0|50.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,341,7.92,9.76,0.0107,1.65
1010011,46.7|0.0|50.0|0.0|0.0|50.0|50.0,总管效率_pct,341,2.99,3.33,-0.0107,6.04
