泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
1001001,46.3|0.0|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,540,15.55,20.49,-0.0943,0.92
1001001,46.3|0.0|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,540,6.69,9.13,-0.081,2.22
1001001,46.3|0.0|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,540,6.56,8.04,0.6128,1.33
1001001,46.3|0.0|0.0|50.0|0.0|0.0|50.0,总管效率_pct,540,1.95,2.35,-0.0685,3.85
1001001,46.9|0.0|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,439,12.43,16.08,-0.5698,0.71
1001001,46.9|0.0|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,439,5.14,5.95,0.0208,1.66
1001001,46.9|0.0|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,439,5.56,7.29,0.5652,1.12
1001001,46.9|0.0|0.0|50.0|0.0|0.0|50.0,总管效率_pct,439,2.21,2.61,-0.03,4.27
1001001,47.3|0.0|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,461,13.74,19.09,0.0852,0.78
1001001,47.3|0.0|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,461,4.14,4.95,0.0237,1.3
1001001,47.3|0.0|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,461,6.9,8.49,0.8083,1.43
1001001,47.3|0.0|0.0|50.0|0.0|0.0|50.0,总管效率_pct,461,1.91,2.32,0.032,3.7
1001001,47.6|0.0|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,285,19.07,25.77,0.1008,1.05
1001001,47.6|0.0|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,285,5.0,6.1,0.0547,1.57
1001001,47.6|0.0|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,285,8.5,10.26,0.7545,1.72
1001001,47.6|0.0|0.0|50.0|0.0|0.0|50.0,总管效率_pct,285,2.01,2.45,-0.0147,3.92
1001001,47.7|0.0|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,425,16.55,22.11,0.0741,0.91
1001001,47.7|0.0|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,425,4.73,5.61,-0.0657,1.45
1001001,47.7|0.0|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,425,7.42,9.39,0.7589,1.51
1001001,47.7|0.0|0.0|50.0|0.0|0.0|50.0,总管效率_pct,425,1.73,2.08,-0.0848,3.28
1001001,48.9|0.0|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,716,19.7,25.16,0.006,1.08
1001001,48.9|0.0|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,716,4.25,5.29,0.0839,1.26
1001001,48.9|0.0|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,716,5.94,7.44,0.781,1.25
1001001,48.9|0.0|0.0|50.0|0.0|0.0|50.0,总管效率_pct,716,2.57,2.99,-0.0063,5.04
1001001,49.0|0.0|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,1037,15.11,19.12,0.5027,0.82
1001001,49.0|0.0|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,1037,5.2,6.05,-0.0949,1.54
1001001,49.0|0.0|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,1037,6.41,8.05,0.7946,1.36
1001001,49.0|0.0|0.0|50.0|0.0|0.0|50.0,总管效率_pct,1037,1.99,2.34,-0.0673,3.83
1001001,49.4|0.0|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,358,18.5,20.83,0.1879,0.99
1001001,49.4|0.0|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,358,4.14,4.95,0.0971,1.19
1001001,49.4|0.0|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,358,6.42,7.82,0.7218,1.33
1001001,49.4|0.0|0.0|50.0|0.0|0.0|50.0,总管效率_pct,358,1.96,2.54,-0.0048,3.83
1001001,49.5|0.0|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,641,14.55,17.64,0.1867,0.77
1001001,49.5|0.0|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,641,3.91,4.9,0.015,1.11
1001001,49.5|0.0|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,641,6.15,7.93,0.7634,1.29
1001001,49.5|0.0|0.0|50.0|0.0|0.0|50.0,总管效率_pct,641,2.11,2.61,-0.0104,4.15
