泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
1100011,45.0|39.2|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,179,28.54,33.32,-2.4198,1.94
1100011,45.0|39.2|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,179,16.54,16.87,-24.852,4.08
1100011,45.0|39.2|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,179,5.68,6.64,-0.4197,1.12
1100011,45.0|39.2|0.0|0.0|0.0|50.0|50.0,总管效率_pct,179,1.11,1.5,-0.0602,2.43
1100011,45.3|39.8|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,345,22.63,26.77,-0.1046,1.47
1100011,45.3|39.8|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,345,9.4,11.92,-1.3999,2.25
1100011,45.3|39.8|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,345,5.74,7.2,-0.0098,1.14
1100011,45.3|39.8|0.0|0.0|0.0|50.0|50.0,总管效率_pct,345,2.13,2.62,-0.0201,4.41
1100011,45.3|40.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,91,27.99,32.85,-1.7274,1.82
1100011,45.3|40.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,91,11.8,13.78,-2.7215,2.79
1100011,45.3|40.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,91,5.76,6.79,0.2804,1.16
1100011,45.3|40.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,91,1.44,1.86,-0.0425,3.09
1100011,45.5|40.2|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,495,22.87,29.68,-0.6519,1.47
1100011,45.5|40.2|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,495,9.58,11.94,-1.3595,2.24
1100011,45.5|40.2|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,495,6.24,7.8,0.3157,1.25
1100011,45.5|40.2|0.0|0.0|0.0|50.0|50.0,总管效率_pct,495,1.84,2.39,-0.0196,3.86
1100011,45.9|41.1|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,240,22.24,43.33,-0.4011,1.36
1100011,45.9|41.1|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,240,4.87,8.18,-3.5847,1.07
1100011,45.9|41.1|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,240,6.93,8.92,0.6421,1.41
1100011,45.9|41.1|0.0|0.0|0.0|50.0|50.0,总管效率_pct,240,1.85,2.08,-0.0327,3.82
1100011,46.0|41.5|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,192,28.75,34.76,0.1135,1.71
1100011,46.0|41.5|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,192,5.23,6.33,0.0826,1.11
1100011,46.0|41.5|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,192,5.65,6.88,0.5957,1.13
1100011,46.0|41.5|0.0|0.0|0.0|50.0|50.0,总管效率_pct,192,1.21,1.45,-0.031,2.51
1100011,46.2|41.6|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,302,31.21,40.64,-0.0527,1.85
1100011,46.2|41.6|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,302,4.61,5.38,0.4028,0.96
1100011,46.2|41.6|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,302,7.01,8.54,0.4735,1.36
1100011,46.2|41.6|0.0|0.0|0.0|50.0|50.0,总管效率_pct,302,1.65,2.02,-0.1434,3.52
1100011,46.2|41.9|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,510,28.41,35.31,-0.0682,1.65
1100011,46.2|41.9|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,510,5.54,6.61,-0.1286,1.16
1100011,46.2|41.9|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,510,5.83,7.49,0.5003,1.19
1100011,46.2|41.9|0.0|0.0|0.0|50.0|50.0,总管效率_pct,510,1.89,2.29,-0.0435,3.87
1100011,46.5|42.3|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,622,31.0,37.63,-0.5918,1.77
1100011,46.5|42.3|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,622,5.29,6.36,-0.0415,1.09
1100011,46.5|42.3|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,622,7.33,9.01,0.6163,1.49
1100011,46.5|42.3|0.0|0.0|0.0|50.0|50.0,总管效率_pct,622,1.49,2.12,-0.0714,3.14
1100011,46.6|42.5|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,335,30.09,39.76,-0.0947,1.69
1100011,46.6|42.5|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,335,3.9,5.11,-0.0148,0.8
1100011,46.6|42.5|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,335,5.48,6.69,0.676,1.1
1100011,46.6|42.5|0.0|0.0|0.0|50.0|50.0,总管效率_pct,335,1.63,2.1,-0.1083,3.37
1100011,46.8|42.8|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,115,20.73,33.27,-0.3901,1.14
1100011,46.8|42.8|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,115,2.42,2.98,0.6823,0.49
1100011,46.8|42.8|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,115,6.42,7.72,0.8449,1.29
1100011,46.8|42.8|0.0|0.0|0.0|50.0|50.0,总管效率_pct,115,1.32,1.74,-0.0568,2.72
1100011,46.9|43.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,81,20.89,26.52,0.5603,1.12
1100011,46.9|43.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,81,5.69,6.09,0.6364,1.16
1100011,46.9|43.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,81,5.51,6.74,0.9381,1.11
1100011,46.9|43.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,81,1.25,1.92,-0.0236,2.63
1100011,47.0|43.3|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,380,16.55,24.89,0.0624,0.88
1100011,47.0|43.3|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,380,4.76,5.59,0.2636,0.95
1100011,47.0|43.3|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,380,5.4,6.66,0.6871,1.08
1100011,47.0|43.3|0.0|0.0|0.0|50.0|50.0,总管效率_pct,380,1.52,1.94,0.0352,3.06
1100011,47.0|43.5|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,1399,24.63,30.13,0.2183,1.29
1100011,47.0|43.5|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,1399,4.56,5.83,0.3602,0.9
1100011,47.0|43.5|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,1399,5.59,7.17,0.6019,1.14
