泵组状态,状态,训练样本,测试样本,频率组合总数,有效频率组合,训练频率组合,测试频率组合,训练轮数,训练时长_s,运行时间,170:1_瞬时流量_MAE,170:1_瞬时流量_RMSE,170:1_瞬时流量_MAPE(%),170:1_瞬时流量_R2,170:2_瞬时流量_MAE,170:2_瞬时流量_RMSE,170:2_瞬时流量_MAPE(%),170:2_瞬时流量_R2,70:3_瞬时流量_MAE,70:3_瞬时流量_RMSE,70:3_瞬时流量_MAPE(%),70:3_瞬时流量_R2,总管效率_pct_MAE,总管效率_pct_RMSE,总管效率_pct_MAPE(%),总管效率_pct_R2,flowtotal(总和)_MAE,flowtotal(总和)_RMSE,flowtotal(总和)_MAPE(%),flowtotal(总和)_R2,原因,样本数
1000110,ok,43687.0,7342.0,694,205,653.0,41.0,126.0,37.1,2026-08-03 15:24:25,28.200000762939453,41.84000015258789,1.47,0.9306,6.619999885559082,8.550000190734863,1.22,0.9582,0.0,0.0,,0.0,2.0999999046325684,2.75,4.19,0.2429,30.309999465942383,45.369998931884766,1.23,0.9478,,
1000111,ok,26568.0,4799.0,658,162,626.0,32.0,150.0,30.7,2026-08-03 15:24:56,31.959999084472656,41.86000061035156,1.58,0.9452,6.25,8.119999885559082,1.14,0.9737,8.270000457763672,11.600000381469727,1.7,0.7595,1.659999966621399,2.119999885559082,3.17,0.2448,34.310001373291016,44.27000045776367,1.12,0.9662,,
1001000,ok,153059.0,23973.0,97,81,81.0,16.0,133.0,129.8,2026-08-03 15:27:07,29.149999618530273,39.060001373291016,1.84,0.9429,6.559999942779541,8.319999694824219,2.21,0.9531,0.0,0.0,,0.0,2.4600000381469727,3.0199999809265137,5.28,0.3043,33.130001068115234,44.0099983215332,1.77,0.9521,,
1001001,ok,32893.0,4902.0,99,47,90.0,9.0,103.0,26.1,2026-08-03 15:27:33,15.989999771118164,20.65999984741211,0.88,0.8818,4.820000171661377,6.03000020980835,1.48,0.878,6.5,8.180000305175781,1.35,0.7957,2.0799999237060547,2.509999990463257,4.04,-0.0019,19.93000030517578,25.489999771118164,0.76,0.8871,,
1001010,ok,35356.0,9686.0,109,61,97.0,12.0,135.0,35.3,2026-08-03 15:28:09,26.3799991607666,35.22999954223633,1.1,0.832,6.010000228881836,7.650000095367432,1.09,0.8653,0.0,0.0,,0.0,1.809999942779541,2.25,3.75,0.0367,29.3700008392334,38.810001373291016,0.99,0.8635,,
1001011,ok,57293.0,13396.0,324,67,311.0,13.0,150.0,59.2,2026-08-03 15:29:09,39.7400016784668,54.5099983215332,1.66,0.8751,7.860000133514404,11.0600004196167,1.45,0.9009,16.6299991607666,24.639999389648438,3.54,0.321,1.9800000190734863,2.490000009536743,4.0,0.0879,57.58000183105469,76.33999633789062,1.68,0.8513,,
1001100,ok,35396.0,4358.0,753,165,720.0,33.0,116.0,29.8,2026-08-03 15:29:39,21.479999542236328,28.0,0.99,0.9142,6.71999979019165,8.819999694824219,1.48,0.9139,0.0,0.0,,0.0,2.1500000953674316,2.609999895095825,4.15,0.0099,23.829999923706055,32.13999938964844,0.91,0.9331,,
1001101,ok,13064.0,807.0,491,48,482.0,9.0,122.0,13.0,2026-08-03 15:29:52,20.360000610351562,23.399999618530273,0.99,0.8852,4.880000114440918,6.380000114440918,1.18,0.9282,7.599999904632568,9.210000038146973,1.51,0.9422,1.9299999475479126,2.4800000190734863,3.63,0.0076,18.43000030517578,22.969999313354492,0.62,0.871,,
1001110,ok,3368.0,311.0,319,18,316.0,3.0,139.0,9.7,2026-08-03 15:30:02,36.880001068115234,56.11000061035156,1.4,0.5996,12.710000038146973,22.31999969482422,1.9,0.4481,0.0,0.0,,0.0,2.200000047683716,2.630000114440918,4.46,0.2372,39.939998626708984,67.3499984741211,1.21,0.6441,,
1001111,skipped,,,102,0,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 0 < 10,234.0
