泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
1001011,43.8|0.0|0.0|50.0|0.0|50.0|50.0,170:1_瞬时流量,281,53.39,58.8,-2.1712,2.43
1001011,43.8|0.0|0.0|50.0|0.0|50.0|50.0,170:2_瞬时流量,281,5.42,7.8,-0.1612,1.12
1001011,43.8|0.0|0.0|50.0|0.0|50.0|50.0,70:3_瞬时流量,281,8.57,9.98,-1.0922,1.76
1001011,43.8|0.0|0.0|50.0|0.0|50.0|50.0,总管效率_pct,281,1.48,1.8,-0.0178,3.08
1001011,43.9|0.0|0.0|50.0|0.0|50.0|50.0,170:1_瞬时流量,419,46.89,56.7,-0.0137,2.11
1001011,43.9|0.0|0.0|50.0|0.0|50.0|50.0,170:2_瞬时流量,419,4.98,6.4,0.3848,1.01
1001011,43.9|0.0|0.0|50.0|0.0|50.0|50.0,70:3_瞬时流量,419,7.79,9.26,0.604,1.6
1001011,43.9|0.0|0.0|50.0|0.0|50.0|50.0,总管效率_pct,419,2.24,2.75,0.0938,4.62
1001011,44.2|0.0|0.0|50.0|0.0|50.0|50.0,170:1_瞬时流量,636,45.64,59.17,0.2231,2.06
1001011,44.2|0.0|0.0|50.0|0.0|50.0|50.0,170:2_瞬时流量,636,5.7,6.75,0.3447,1.15
1001011,44.2|0.0|0.0|50.0|0.0|50.0|50.0,70:3_瞬时流量,636,11.67,15.07,0.479,2.5
1001011,44.2|0.0|0.0|50.0|0.0|50.0|50.0,总管效率_pct,636,1.82,2.32,0.0706,3.83
1001011,44.6|0.0|0.0|50.0|0.0|50.0|50.0,170:1_瞬时流量,861,31.74,40.88,0.6522,1.38
1001011,44.6|0.0|0.0|50.0|0.0|50.0|50.0,170:2_瞬时流量,861,5.6,7.19,0.6532,1.1
1001011,44.6|0.0|0.0|50.0|0.0|50.0|50.0,70:3_瞬时流量,861,12.34,15.19,0.7552,2.42
1001011,44.6|0.0|0.0|50.0|0.0|50.0|50.0,总管效率_pct,861,1.94,2.31,0.1015,3.89
1001011,44.9|0.0|0.0|50.0|0.0|50.0|50.0,170:1_瞬时流量,936,45.27,55.62,0.4961,1.98
