泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
0110011,0.0|40.7|49.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,98,51.15,57.08,-1.9975,3.1
0110011,0.0|40.7|49.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,98,10.05,11.37,-3.7504,1.82
0110011,0.0|40.7|49.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,98,4.02,5.24,0.1943,0.89
0110011,0.0|40.7|49.0|0.0|0.0|50.0|50.0,总管效率_pct,98,1.47,1.89,-0.0121,3.13
0110011,0.0|42.3|48.5|0.0|0.0|50.0|50.0,170:1_瞬时流量,72,40.53,41.37,-0.45,2.27
0110011,0.0|42.3|48.5|0.0|0.0|50.0|50.0,170:2_瞬时流量,72,4.11,5.09,0.3063,0.7
0110011,0.0|42.3|48.5|0.0|0.0|50.0|50.0,70:3_瞬时流量,72,4.76,6.17,0.4146,1.0
0110011,0.0|42.3|48.5|0.0|0.0|50.0|50.0,总管效率_pct,72,1.57,1.8,-0.2353,3.13
0110011,0.0|42.6|48.6|0.0|0.0|50.0|50.0,170:1_瞬时流量,412,39.98,43.77,-0.1642,2.22
0110011,0.0|42.6|48.6|0.0|0.0|50.0|50.0,170:2_瞬时流量,412,7.2,8.53,-0.0204,1.23
0110011,0.0|42.6|48.6|0.0|0.0|50.0|50.0,70:3_瞬时流量,412,5.5,6.86,0.2977,1.15
0110011,0.0|42.6|48.6|0.0|0.0|50.0|50.0,总管效率_pct,412,2.04,2.6,0.0284,4.07
0110011,0.0|42.6|48.7|0.0|0.0|50.0|50.0,170:1_瞬时流量,724,33.55,37.07,0.2063,1.85
0110011,0.0|42.6|48.7|0.0|0.0|50.0|50.0,170:2_瞬时流量,724,6.0,7.56,0.4927,1.02
0110011,0.0|42.6|48.7|0.0|0.0|50.0|50.0,70:3_瞬时流量,724,5.88,7.47,0.8189,1.22
0110011,0.0|42.6|48.7|0.0|0.0|50.0|50.0,总管效率_pct,724,2.23,2.64,-0.0178,4.64
0110011,0.0|42.7|48.7|0.0|0.0|50.0|50.0,170:1_瞬时流量,698,25.96,30.51,0.1539,1.42
0110011,0.0|42.7|48.7|0.0|0.0|50.0|50.0,170:2_瞬时流量,698,5.35,6.68,0.4705,0.91
0110011,0.0|42.7|48.7|0.0|0.0|50.0|50.0,70:3_瞬时流量,698,5.93,7.53,0.8243,1.22
0110011,0.0|42.7|48.7|0.0|0.0|50.0|50.0,总管效率_pct,698,1.68,1.97,-0.0216,3.42
0110011,0.0|42.9|48.7|0.0|0.0|50.0|50.0,170:1_瞬时流量,631,30.9,39.88,0.0688,1.71
0110011,0.0|42.9|48.7|0.0|0.0|50.0|50.0,170:2_瞬时流量,631,5.4,6.77,0.3628,0.92
0110011,0.0|42.9|48.7|0.0|0.0|50.0|50.0,70:3_瞬时流量,631,5.91,7.4,0.6167,1.23
0110011,0.0|42.9|48.7|0.0|0.0|50.0|50.0,总管效率_pct,631,1.93,2.47,0.0252,4.04
0110011,0.0|43.0|48.7|0.0|0.0|50.0|50.0,170:1_瞬时流量,481,28.69,37.49,0.2034,1.56
0110011,0.0|43.0|48.7|0.0|0.0|50.0|50.0,170:2_瞬时流量,481,7.18,8.71,0.4793,1.21
0110011,0.0|43.0|48.7|0.0|0.0|50.0|50.0,70:3_瞬时流量,481,6.25,7.68,0.736,1.29
0110011,0.0|43.0|48.7|0.0|0.0|50.0|50.0,总管效率_pct,481,2.09,2.51,0.0317,4.2
0110011,0.0|43.2|48.3|0.0|0.0|50.0|50.0,170:1_瞬时流量,61,27.52,30.51,-2.6967,1.51
0110011,0.0|43.2|48.3|0.0|0.0|50.0|50.0,170:2_瞬时流量,61,16.13,16.2,-64.6365,2.83
0110011,0.0|43.2|48.3|0.0|0.0|50.0|50.0,70:3_瞬时流量,61,6.27,7.34,-0.5715,1.31
0110011,0.0|43.2|48.3|0.0|0.0|50.0|50.0,总管效率_pct,61,1.06,1.3,-1.9918,2.09
0110011,0.0|43.6|49.5|0.0|0.0|50.0|50.0,170:1_瞬时流量,126,12.2,15.87,-0.0379,0.65
0110011,0.0|43.6|49.5|0.0|0.0|50.0|50.0,170:2_瞬时流量,126,6.28,6.87,-0.1092,1.04
0110011,0.0|43.6|49.5|0.0|0.0|50.0|50.0,70:3_瞬时流量,126,6.84,8.54,-1.0506,1.49
0110011,0.0|43.6|49.5|0.0|0.0|50.0|50.0,总管效率_pct,126,1.35,1.68,-0.1242,2.81
0110011,0.0|43.7|49.5|0.0|0.0|50.0|50.0,170:1_瞬时流量,62,14.0,15.67,0.285,0.74
0110011,0.0|43.7|49.5|0.0|0.0|50.0|50.0,170:2_瞬时流量,62,9.2,9.31,-1.7437,1.51
