泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
0010010,0.0|0.0|42.5|0.0|0.0|50.0|0.0,170:1_瞬时流量,170,10.61,13.09,-0.3448,0.8
0010010,0.0|0.0|42.5|0.0|0.0|50.0|0.0,170:2_瞬时流量,170,7.02,7.68,-0.3534,1.73
0010010,0.0|0.0|42.5|0.0|0.0|50.0|0.0,70:3_瞬时流量,170,0.0,0.01,0.0,
0010010,0.0|0.0|42.5|0.0|0.0|50.0|0.0,总管效率_pct,170,3.69,4.3,0.0008,8.58
0010010,0.0|0.0|43.2|0.0|0.0|50.0|0.0,170:1_瞬时流量,4561,14.87,19.53,0.5385,1.09
0010010,0.0|0.0|43.2|0.0|0.0|50.0|0.0,170:2_瞬时流量,4561,7.43,9.69,0.5226,1.77
0010010,0.0|0.0|43.2|0.0|0.0|50.0|0.0,70:3_瞬时流量,4561,0.0,0.0,1.0,
0010010,0.0|0.0|43.2|0.0|0.0|50.0|0.0,总管效率_pct,4561,2.92,3.55,-0.0062,6.47
0010010,0.0|0.0|44.4|0.0|0.0|50.0|0.0,170:1_瞬时流量,1525,17.22,22.5,0.3746,1.16
0010010,0.0|0.0|44.4|0.0|0.0|50.0|0.0,170:2_瞬时流量,1525,5.54,7.01,0.5596,1.19
0010010,0.0|0.0|44.4|0.0|0.0|50.0|0.0,70:3_瞬时流量,1525,0.0,0.0,0.0,
0010010,0.0|0.0|44.4|0.0|0.0|50.0|0.0,总管效率_pct,1525,3.17,4.1,-0.032,6.74
0010010,0.0|0.0|44.6|0.0|0.0|50.0|0.0,170:1_瞬时流量,696,21.73,28.26,0.3124,1.47
0010010,0.0|0.0|44.6|0.0|0.0|50.0|0.0,170:2_瞬时流量,696,4.78,6.02,0.711,1.01
0010010,0.0|0.0|44.6|0.0|0.0|50.0|0.0,70:3_瞬时流量,696,0.0,0.0,0.0,
0010010,0.0|0.0|44.6|0.0|0.0|50.0|0.0,总管效率_pct,696,2.01,2.72,-0.1889,4.42
0010010,0.0|0.0|45.6|0.0|0.0|50.0|0.0,170:1_瞬时流量,124,18.44,29.27,0.662,1.23
0010010,0.0|0.0|45.6|0.0|0.0|50.0|0.0,170:2_瞬时流量,124,5.78,6.93,0.806,1.16
0010010,0.0|0.0|45.6|0.0|0.0|50.0|0.0,70:3_瞬时流量,124,0.0,0.0,1.0,
0010010,0.0|0.0|45.6|0.0|0.0|50.0|0.0,总管效率_pct,124,4.29,5.45,-0.0334,9.11
0010010,0.0|0.0|47.0|0.0|0.0|50.0|0.0,170:1_瞬时流量,290,33.89,40.91,0.4851,2.08
0010010,0.0|0.0|47.0|0.0|0.0|50.0|0.0,170:2_瞬时流量,290,4.11,5.03,0.9472,0.8
0010010,0.0|0.0|47.0|0.0|0.0|50.0|0.0,70:3_瞬时流量,290,0.0,0.0,0.0,
0010010,0.0|0.0|47.0|0.0|0.0|50.0|0.0,总管效率_pct,290,2.59,3.17,0.0835,5.53
0010010,0.0|0.0|47.1|0.0|0.0|50.0|0.0,170:1_瞬时流量,192,28.91,34.19,0.4199,1.78
