泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
1000011,44.6|0.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,139,20.17,22.71,-6.0127,1.42
1000011,44.6|0.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,139,13.5,15.24,-3.4397,3.79
1000011,44.6|0.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,139,6.88,8.22,-0.8192,1.38
1000011,44.6|0.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,139,2.65,3.31,-0.1696,5.18
1000011,45.4|0.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,1293,24.08,30.75,0.0916,1.64
1000011,45.4|0.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,1293,6.78,8.31,0.2267,1.79
1000011,45.4|0.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,1293,6.67,8.45,0.7846,1.36
1000011,45.4|0.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,1293,1.71,2.12,0.0011,3.49
1000011,45.5|0.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,1459,22.28,30.25,-0.0052,1.52
1000011,45.5|0.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,1459,5.22,6.66,0.1355,1.36
1000011,45.5|0.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,1459,7.4,9.24,0.7099,1.5
1000011,45.5|0.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,1459,1.92,2.22,-0.0002,3.93
1000011,46.6|0.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,1991,23.29,30.04,0.1331,1.49
1000011,46.6|0.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,1991,5.52,7.03,0.0815,1.38
1000011,46.6|0.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,1991,6.3,7.87,0.8277,1.3
1000011,46.6|0.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,1991,1.98,2.65,-0.0129,4.02
1000011,46.7|0.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,2672,23.56,30.28,0.1218,1.5
1000011,46.7|0.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,2672,6.03,7.55,0.0238,1.5
1000011,46.7|0.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,2672,6.07,7.62,0.812,1.26
1000011,46.7|0.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,2672,2.03,2.69,-0.0237,4.23
1000011,47.2|0.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,2689,28.13,37.24,0.0483,1.75
1000011,47.2|0.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,2689,6.47,8.91,0.0492,1.55
1000011,47.2|0.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,2689,6.86,8.86,0.7685,1.39
1000011,47.2|0.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,2689,1.8,2.24,-0.0019,3.62
1000011,47.3|0.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,2936,24.88,30.83,0.2146,1.53
1000011,47.3|0.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,2936,5.36,6.87,0.025,1.29
1000011,47.3|0.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,2936,7.47,10.07,0.7885,1.55
1000011,47.3|0.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,2936,1.81,2.26,-0.0081,3.66
1000011,47.4|0.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,2357,22.99,29.81,0.1641,1.41
1000011,47.4|0.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,2357,5.89,7.66,0.1647,1.41
1000011,47.4|0.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,2357,7.54,10.38,0.8125,1.57
1000011,47.4|0.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,2357,1.75,2.26,-0.0306,3.65
1000011,48.0|0.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,2036,27.32,34.21,0.1459,1.65
1000011,48.0|0.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,2036,6.23,7.78,0.1698,1.47
1000011,48.0|0.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,2036,8.73,12.07,0.7509,1.79
1000011,48.0|0.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,2036,1.84,2.37,-0.0157,3.71
1000011,48.3|0.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,2417,25.17,32.41,0.1208,1.5
1000011,48.3|0.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,2417,5.38,6.91,0.0697,1.26
1000011,48.3|0.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,2417,10.9,16.12,0.5932,2.26
1000011,48.3|0.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,2417,1.8,2.16,0.0138,3.67
1000011,48.6|0.0|0.0|0.0|0.0|50.0|50.0,170:1_瞬时流量,1743,33.52,42.03,-0.0129,2.0
1000011,48.6|0.0|0.0|0.0|0.0|50.0|50.0,170:2_瞬时流量,1743,5.68,7.52,-0.0054,1.32
1000011,48.6|0.0|0.0|0.0|0.0|50.0|50.0,70:3_瞬时流量,1743,13.66,17.54,0.6278,2.88
1000011,48.6|0.0|0.0|0.0|0.0|50.0|50.0,总管效率_pct,1743,1.87,2.19,0.0214,3.83
