泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
1001010,44.7|0.0|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,350,40.21,44.99,0.2245,1.74
1001010,44.7|0.0|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,350,5.66,6.68,-0.5164,1.1
1001010,44.7|0.0|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,350,0.0,0.0,1.0,
1001010,44.7|0.0|0.0|50.0|0.0|50.0|0.0,总管效率_pct,350,1.33,1.58,-0.0787,2.75
1001010,44.8|0.0|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,400,37.01,42.8,0.1615,1.59
1001010,44.8|0.0|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,400,6.19,7.96,-0.3168,1.2
1001010,44.8|0.0|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,400,0.0,0.0,1.0,
1001010,44.8|0.0|0.0|50.0|0.0|50.0|0.0,总管效率_pct,400,1.87,2.27,0.1742,3.94
1001010,45.4|0.0|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,282,24.93,31.27,0.4628,1.07
1001010,45.4|0.0|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,282,3.92,5.72,0.3501,0.73
1001010,45.4|0.0|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,282,0.0,0.0,0.0,
1001010,45.4|0.0|0.0|50.0|0.0|50.0|0.0,总管效率_pct,282,2.31,2.71,0.0569,4.8
1001010,45.6|0.0|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,729,33.64,39.69,0.1798,1.43
1001010,45.6|0.0|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,729,5.28,7.13,-0.0832,0.99
1001010,45.6|0.0|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,729,0.0,0.0,0.0,
1001010,45.6|0.0|0.0|50.0|0.0|50.0|0.0,总管效率_pct,729,1.88,2.31,0.0795,3.95
1001010,45.7|0.0|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,666,31.38,39.79,-0.0282,1.34
1001010,45.7|0.0|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,666,5.96,7.16,-0.1667,1.11
1001010,45.7|0.0|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,666,0.0,0.0,0.0,
1001010,45.7|0.0|0.0|50.0|0.0|50.0|0.0,总管效率_pct,666,1.29,1.77,-0.0365,2.66
1001010,46.1|0.0|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,1806,22.41,30.54,0.4764,0.93
1001010,46.1|0.0|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,1806,6.42,8.11,0.2013,1.17
1001010,46.1|0.0|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,1806,0.0,0.0,0.0,
1001010,46.1|0.0|0.0|50.0|0.0|50.0|0.0,总管效率_pct,1806,1.8,2.26,0.047,3.75
1001010,46.2|0.0|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,2501,23.28,33.8,0.4778,0.97
1001010,46.2|0.0|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,2501,5.09,6.64,0.3687,0.92
1001010,46.2|0.0|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,2501,0.0,0.0,0.0,
1001010,46.2|0.0|0.0|50.0|0.0|50.0|0.0,总管效率_pct,2501,1.62,2.03,0.0083,3.36
1001010,46.6|0.0|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,1431,22.11,30.15,0.5189,0.91
1001010,46.6|0.0|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,1431,6.13,7.98,0.3452,1.1
1001010,46.6|0.0|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,1431,0.0,0.0,0.0,
1001010,46.6|0.0|0.0|50.0|0.0|50.0|0.0,总管效率_pct,1431,2.06,2.43,-0.0631,4.34
1001010,47.5|0.0|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,602,23.28,35.94,0.5311,0.92
1001010,47.5|0.0|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,602,6.4,8.04,0.3979,1.1
1001010,47.5|0.0|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,602,0.0,0.0,0.0,
1001010,47.5|0.0|0.0|50.0|0.0|50.0|0.0,总管效率_pct,602,2.32,2.8,-0.0586,4.73
1001010,47.6|0.0|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,387,29.82,39.18,0.2872,1.19
1001010,47.6|0.0|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,387,9.55,10.78,-0.1431,1.64
1001010,47.6|0.0|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,387,0.0,0.0,0.0,
1001010,47.6|0.0|0.0|50.0|0.0|50.0|0.0,总管效率_pct,387,2.09,2.41,0.0175,4.26
1001010,47.9|0.0|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,211,23.63,31.69,0.6853,0.93
1001010,47.9|0.0|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,211,8.33,9.87,0.5842,1.43
1001010,47.9|0.0|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,211,0.0,0.0,1.0,
1001010,47.9|0.0|0.0|50.0|0.0|50.0|0.0,总管效率_pct,211,2.25,2.97,0.0337,4.76
1001010,49.2|0.0|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,321,41.46,45.99,0.2789,1.57
1001010,49.2|0.0|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,321,7.48,8.08,0.377,1.23
1001010,49.2|0.0|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,321,0.0,0.0,0.0,
1001010,49.2|0.0|0.0|50.0|0.0|50.0|0.0,总管效率_pct,321,1.46,1.89,-0.0912,2.95
