泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
1000111,46.1|0.0|0.0|0.0|41.4|50.0|50.0,170:1_瞬时流量,56,6.55,6.65,-0.4111,0.37
1000111,46.1|0.0|0.0|0.0|41.4|50.0|50.0,170:2_瞬时流量,56,8.12,10.83,-1.3165,1.91
1000111,46.1|0.0|0.0|0.0|41.4|50.0|50.0,70:3_瞬时流量,56,7.74,9.2,-1.2781,1.68
1000111,46.1|0.0|0.0|0.0|41.4|50.0|50.0,总管效率_pct,56,1.14,1.65,-0.3524,2.33
1000111,46.3|0.0|0.0|0.0|41.6|50.0|50.0,170:1_瞬时流量,76,16.08,17.68,-4.5421,0.89
1000111,46.3|0.0|0.0|0.0|41.6|50.0|50.0,170:2_瞬时流量,76,12.05,13.92,-1.8337,2.79
1000111,46.3|0.0|0.0|0.0|41.6|50.0|50.0,70:3_瞬时流量,76,7.3,8.81,-1.0621,1.58
1000111,46.3|0.0|0.0|0.0|41.6|50.0|50.0,总管效率_pct,76,1.86,2.0,-0.1006,3.62
1000111,46.3|0.0|0.0|0.0|41.7|50.0|50.0,170:1_瞬时流量,65,15.92,18.7,-1.984,0.88
1000111,46.3|0.0|0.0|0.0|41.7|50.0|50.0,170:2_瞬时流量,65,7.59,12.18,-0.4776,1.76
1000111,46.3|0.0|0.0|0.0|41.7|50.0|50.0,70:3_瞬时流量,65,7.0,8.69,-0.7337,1.51
1000111,46.3|0.0|0.0|0.0|41.7|50.0|50.0,总管效率_pct,65,1.95,2.08,-3.4549,3.66
1000111,46.6|0.0|0.0|0.0|42.5|50.0|50.0,170:1_瞬时流量,71,14.38,21.37,-0.7658,0.81
1000111,46.6|0.0|0.0|0.0|42.5|50.0|50.0,170:2_瞬时流量,71,6.26,9.4,-0.2848,1.3
1000111,46.6|0.0|0.0|0.0|42.5|50.0|50.0,70:3_瞬时流量,71,4.11,5.67,-0.1318,0.88
1000111,46.6|0.0|0.0|0.0|42.5|50.0|50.0,总管效率_pct,71,0.9,0.98,-0.0966,1.75
1000111,46.9|0.0|0.0|0.0|43.0|50.0|50.0,170:1_瞬时流量,70,17.81,24.45,-0.0747,0.99
1000111,46.9|0.0|0.0|0.0|43.0|50.0|50.0,170:2_瞬时流量,70,5.56,6.8,-0.2572,1.13
1000111,46.9|0.0|0.0|0.0|43.0|50.0|50.0,70:3_瞬时流量,70,4.87,6.19,0.5825,1.02
1000111,46.9|0.0|0.0|0.0|43.0|50.0|50.0,总管效率_pct,70,1.15,1.49,0.0344,2.32
1000111,47.0|0.0|0.0|0.0|43.1|50.0|50.0,170:1_瞬时流量,99,22.46,28.37,0.0492,1.24
1000111,47.0|0.0|0.0|0.0|43.1|50.0|50.0,170:2_瞬时流量,99,5.06,6.09,-0.041,1.03
1000111,47.0|0.0|0.0|0.0|43.1|50.0|50.0,70:3_瞬时流量,99,7.5,9.23,0.1314,1.53
1000111,47.0|0.0|0.0|0.0|43.1|50.0|50.0,总管效率_pct,99,1.25,1.36,-0.0606,2.41
1000111,47.0|0.0|0.0|0.0|43.2|50.0|50.0,170:1_瞬时流量,259,29.17,33.3,-0.9116,1.63
1000111,47.0|0.0|0.0|0.0|43.2|50.0|50.0,170:2_瞬时流量,259,5.6,6.22,-0.3011,1.13
