泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
1010010,44.0|0.0|50.0|0.0|0.0|50.0|0.0,170:1_瞬时流量,55,17.53,21.43,0.0945,0.84
1010010,44.0|0.0|50.0|0.0|0.0|50.0|0.0,170:2_瞬时流量,55,6.88,7.19,-10.9649,1.04
1010010,44.0|0.0|50.0|0.0|0.0|50.0|0.0,70:3_瞬时流量,55,0.0,0.0,0.0,
1010010,44.0|0.0|50.0|0.0|0.0|50.0|0.0,总管效率_pct,55,2.13,2.27,-0.0029,4.59
1010010,45.4|0.0|50.0|0.0|0.0|50.0|0.0,170:1_瞬时流量,97,14.7,20.97,-0.8245,0.67
1010010,45.4|0.0|50.0|0.0|0.0|50.0|0.0,170:2_瞬时流量,97,2.76,3.04,-1.6616,0.39
1010010,45.4|0.0|50.0|0.0|0.0|50.0|0.0,70:3_瞬时流量,97,0.0,0.0,1.0,
1010010,45.4|0.0|50.0|0.0|0.0|50.0|0.0,总管效率_pct,97,1.78,1.98,-0.6549,3.88
