泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
0101011,0.0|39.6|0.0|48.0|0.0|50.0|50.0,170:1_瞬时流量,67,35.21,35.24,0.0,1.84
0101011,0.0|39.6|0.0|48.0|0.0|50.0|50.0,170:2_瞬时流量,67,9.13,10.06,-3.8908,2.35
0101011,0.0|39.6|0.0|48.0|0.0|50.0|50.0,70:3_瞬时流量,67,4.1,5.73,-0.1015,0.78
0101011,0.0|39.6|0.0|48.0|0.0|50.0|50.0,总管效率_pct,67,3.69,3.74,-0.2274,7.48
0101011,0.0|39.6|0.0|49.3|0.0|50.0|50.0,170:1_瞬时流量,50,31.62,43.26,-0.2055,1.64
0101011,0.0|39.6|0.0|49.3|0.0|50.0|50.0,170:2_瞬时流量,50,8.58,11.82,0.0116,2.28
0101011,0.0|39.6|0.0|49.3|0.0|50.0|50.0,70:3_瞬时流量,50,5.66,8.31,0.1431,1.18
0101011,0.0|39.6|0.0|49.3|0.0|50.0|50.0,总管效率_pct,50,2.19,2.57,-0.2932,4.13
0101011,0.0|39.6|0.0|49.4|0.0|50.0|50.0,170:1_瞬时流量,147,22.39,27.56,-0.5185,1.15
0101011,0.0|39.6|0.0|49.4|0.0|50.0|50.0,170:2_瞬时流量,147,8.43,9.69,-1.6103,2.23
0101011,0.0|39.6|0.0|49.4|0.0|50.0|50.0,70:3_瞬时流量,147,5.17,6.45,0.0741,1.04
0101011,0.0|39.6|0.0|49.4|0.0|50.0|50.0,总管效率_pct,147,1.57,1.71,-0.147,3.05
0101011,0.0|40.1|0.0|48.7|0.0|50.0|50.0,170:1_瞬时流量,51,10.39,12.87,-0.3139,0.53
0101011,0.0|40.1|0.0|48.7|0.0|50.0|50.0,170:2_瞬时流量,51,3.13,4.42,-1.0782,0.8
0101011,0.0|40.1|0.0|48.7|0.0|50.0|50.0,70:3_瞬时流量,51,5.39,6.49,-0.333,1.08
0101011,0.0|40.1|0.0|48.7|0.0|50.0|50.0,总管效率_pct,51,1.81,2.61,-0.2001,3.84
0101011,0.0|40.4|0.0|48.2|0.0|50.0|50.0,170:1_瞬时流量,65,20.48,24.28,-0.2077,1.06
0101011,0.0|40.4|0.0|48.2|0.0|50.0|50.0,170:2_瞬时流量,65,4.47,5.78,0.3835,1.12
0101011,0.0|40.4|0.0|48.2|0.0|50.0|50.0,70:3_瞬时流量,65,6.59,8.2,0.7838,1.28
0101011,0.0|40.4|0.0|48.2|0.0|50.0|50.0,总管效率_pct,65,1.87,2.6,-0.0748,3.69
0101011,0.0|40.4|0.0|48.8|0.0|50.0|50.0,170:1_瞬时流量,149,11.87,13.81,-0.4991,0.6
0101011,0.0|40.4|0.0|48.8|0.0|50.0|50.0,170:2_瞬时流量,149,4.22,5.16,0.0462,1.05
0101011,0.0|40.4|0.0|48.8|0.0|50.0|50.0,70:3_瞬时流量,149,5.63,6.94,0.077,1.12
0101011,0.0|40.4|0.0|48.8|0.0|50.0|50.0,总管效率_pct,149,1.64,1.81,-0.2895,3.17
0101011,0.0|40.5|0.0|48.1|0.0|50.0|50.0,170:1_瞬时流量,115,8.73,9.93,0.4222,0.45
0101011,0.0|40.5|0.0|48.1|0.0|50.0|50.0,170:2_瞬时流量,115,3.99,5.24,0.31,0.99
0101011,0.0|40.5|0.0|48.1|0.0|50.0|50.0,70:3_瞬时流量,115,6.58,8.47,0.8529,1.37
0101011,0.0|40.5|0.0|48.1|0.0|50.0|50.0,总管效率_pct,115,1.14,1.55,0.0114,2.25
0101011,0.0|40.6|0.0|49.5|0.0|50.0|50.0,170:1_瞬时流量,127,10.91,14.02,-0.9737,0.53
0101011,0.0|40.6|0.0|49.5|0.0|50.0|50.0,170:2_瞬时流量,127,4.47,7.11,-0.2315,1.07
0101011,0.0|40.6|0.0|49.5|0.0|50.0|50.0,70:3_瞬时流量,127,5.06,6.21,-0.11,1.04
0101011,0.0|40.6|0.0|49.5|0.0|50.0|50.0,总管效率_pct,127,1.87,2.34,-0.234,3.58
0101011,0.0|40.6|0.0|49.9|0.0|50.0|50.0,170:1_瞬时流量,75,13.88,16.13,-0.3458,0.68
0101011,0.0|40.6|0.0|49.9|0.0|50.0|50.0,170:2_瞬时流量,75,2.05,2.34,-1.2896,0.51
0101011,0.0|40.6|0.0|49.9|0.0|50.0|50.0,70:3_瞬时流量,75,7.0,8.61,-1.7848,1.46
