泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
1101001,45.7|40.6|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,61,20.43,20.81,-26.4164,1.13
1101001,45.7|40.6|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,61,21.32,21.86,-19.728,6.34
1101001,45.7|40.6|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,61,5.68,6.92,-1.6946,1.18
1101001,45.7|40.6|0.0|50.0|0.0|0.0|50.0,总管效率_pct,61,2.2,2.29,-1.7857,4.47
1101001,46.0|41.3|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,72,36.11,40.82,-2.9923,1.99
1101001,46.0|41.3|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,72,8.56,8.66,-31.2936,2.37
1101001,46.0|41.3|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,72,3.16,4.32,0.2104,0.65
1101001,46.0|41.3|0.0|50.0|0.0|0.0|50.0,总管效率_pct,72,1.44,1.63,0.0138,2.84
1101001,46.3|41.9|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,78,23.67,37.76,-0.5351,1.29
1101001,46.3|41.9|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,78,6.81,8.5,-2.489,1.84
1101001,46.3|41.9|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,78,4.63,5.58,0.371,0.94
1101001,46.3|41.9|0.0|50.0|0.0|0.0|50.0,总管效率_pct,78,1.16,1.43,-0.0914,2.25
1101001,46.3|42.1|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,193,33.73,39.74,-3.2259,1.81
1101001,46.3|42.1|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,193,6.56,7.64,-2.6129,1.75
1101001,46.3|42.1|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,193,5.07,6.36,0.3218,1.02
1101001,46.3|42.1|0.0|50.0|0.0|0.0|50.0,总管效率_pct,193,2.56,2.9,-0.3071,5.23
1101001,46.4|42.3|0.0|50.0|0.0|0.0|50.0,170:1_瞬时流量,114,45.12,49.91,-4.9572,2.41
1101001,46.4|42.3|0.0|50.0|0.0|0.0|50.0,170:2_瞬时流量,114,4.9,5.74,-0.3113,1.27
1101001,46.4|42.3|0.0|50.0|0.0|0.0|50.0,70:3_瞬时流量,114,5.92,7.21,0.5026,1.24
