泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
0101010,0.0|40.7|0.0|49.6|0.0|50.0|0.0,170:1_瞬时流量,107,43.64,44.74,-19.9881,2.26
0101010,0.0|40.7|0.0|49.6|0.0|50.0|0.0,170:2_瞬时流量,107,7.63,8.33,-5.0989,1.9
0101010,0.0|40.7|0.0|49.6|0.0|50.0|0.0,70:3_瞬时流量,107,0.0,0.0,0.0,
0101010,0.0|40.7|0.0|49.6|0.0|50.0|0.0,总管效率_pct,107,2.54,2.95,-0.085,5.52
0101010,0.0|40.8|0.0|49.6|0.0|50.0|0.0,170:1_瞬时流量,78,50.0,51.19,-22.0669,2.6
0101010,0.0|40.8|0.0|49.6|0.0|50.0|0.0,170:2_瞬时流量,78,9.38,9.79,-9.5575,2.34
0101010,0.0|40.8|0.0|49.6|0.0|50.0|0.0,70:3_瞬时流量,78,0.0,0.0,1.0,
0101010,0.0|40.8|0.0|49.6|0.0|50.0|0.0,总管效率_pct,78,2.63,3.41,-0.1383,5.84
0101010,0.0|41.4|0.0|49.7|0.0|50.0|0.0,170:1_瞬时流量,54,18.98,24.28,-1.4026,0.97
0101010,0.0|41.4|0.0|49.7|0.0|50.0|0.0,170:2_瞬时流量,54,4.11,5.48,-0.0452,0.99
0101010,0.0|41.4|0.0|49.7|0.0|50.0|0.0,70:3_瞬时流量,54,0.0,0.0,0.0,
0101010,0.0|41.4|0.0|49.7|0.0|50.0|0.0,总管效率_pct,54,1.22,1.5,-0.0208,2.54
0101010,0.0|41.9|0.0|49.8|0.0|50.0|0.0,170:1_瞬时流量,65,20.06,21.55,-1.0758,1.01
0101010,0.0|41.9|0.0|49.8|0.0|50.0|0.0,170:2_瞬时流量,65,7.8,8.88,-1.014,1.89
0101010,0.0|41.9|0.0|49.8|0.0|50.0|0.0,70:3_瞬时流量,65,0.0,0.0,0.0,
0101010,0.0|41.9|0.0|49.8|0.0|50.0|0.0,总管效率_pct,65,1.28,1.7,-0.1212,2.66
0101010,0.0|42.0|0.0|49.6|0.0|50.0|0.0,170:1_瞬时流量,72,10.88,14.64,0.0025,0.54
0101010,0.0|42.0|0.0|49.6|0.0|50.0|0.0,170:2_瞬时流量,72,3.39,3.67,-0.125,0.8
0101010,0.0|42.0|0.0|49.6|0.0|50.0|0.0,70:3_瞬时流量,72,0.0,0.01,0.0,
0101010,0.0|42.0|0.0|49.6|0.0|50.0|0.0,总管效率_pct,72,3.28,4.08,-0.2745,7.26
0101010,0.0|42.3|0.0|49.7|0.0|50.0|0.0,170:1_瞬时流量,71,7.56,9.36,-1.3757,0.37
0101010,0.0|42.3|0.0|49.7|0.0|50.0|0.0,170:2_瞬时流量,71,4.21,5.23,-0.3107,1.0
0101010,0.0|42.3|0.0|49.7|0.0|50.0|0.0,70:3_瞬时流量,71,0.0,0.0,0.0,
0101010,0.0|42.3|0.0|49.7|0.0|50.0|0.0,总管效率_pct,71,2.57,3.18,-0.0771,5.15
0101010,0.0|42.9|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,63,23.11,27.36,-0.0348,1.12
0101010,0.0|42.9|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,63,4.07,6.6,0.3488,0.95
0101010,0.0|42.9|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,63,0.0,0.0,1.0,
0101010,0.0|42.9|0.0|50.0|0.0|50.0|0.0,总管效率_pct,63,1.72,2.25,0.0323,3.64
0101010,0.0|43.3|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,140,16.67,21.13,-0.598,0.81
0101010,0.0|43.3|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,140,5.71,6.94,-0.6104,1.32
0101010,0.0|43.3|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,140,0.0,0.0,1.0,
0101010,0.0|43.3|0.0|50.0|0.0|50.0|0.0,总管效率_pct,140,1.39,1.74,0.0542,2.87
0101010,0.0|43.4|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,100,12.02,17.09,-0.8502,0.58
0101010,0.0|43.4|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,100,7.19,7.99,-1.489,1.65
0101010,0.0|43.4|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,100,0.0,0.0,1.0,
0101010,0.0|43.4|0.0|50.0|0.0|50.0|0.0,总管效率_pct,100,1.78,2.33,-0.499,3.91
0101010,0.0|43.5|0.0|48.7|0.0|50.0|0.0,170:1_瞬时流量,110,29.62,34.72,0.3118,1.45
0101010,0.0|43.5|0.0|48.7|0.0|50.0|0.0,170:2_瞬时流量,110,2.55,2.91,0.7787,0.57
0101010,0.0|43.5|0.0|48.7|0.0|50.0|0.0,70:3_瞬时流量,110,0.0,0.0,0.0,
0101010,0.0|43.5|0.0|48.7|0.0|50.0|0.0,总管效率_pct,110,1.14,1.58,-0.2068,2.37
0101010,0.0|43.6|0.0|48.7|0.0|50.0|0.0,170:1_瞬时流量,79,19.14,21.99,0.8696,0.93
0101010,0.0|43.6|0.0|48.7|0.0|50.0|0.0,170:2_瞬时流量,79,3.68,4.21,0.7288,0.82
0101010,0.0|43.6|0.0|48.7|0.0|50.0|0.0,70:3_瞬时流量,79,0.0,0.0,0.0,
0101010,0.0|43.6|0.0|48.7|0.0|50.0|0.0,总管效率_pct,79,1.98,2.62,-0.5198,4.26
0101010,0.0|43.9|0.0|49.7|0.0|50.0|0.0,170:1_瞬时流量,51,17.61,22.28,-0.0415,0.86
0101010,0.0|43.9|0.0|49.7|0.0|50.0|0.0,170:2_瞬时流量,51,5.88,6.54,-3.4658,1.34
0101010,0.0|43.9|0.0|49.7|0.0|50.0|0.0,70:3_瞬时流量,51,0.0,0.0,1.0,
0101010,0.0|43.9|0.0|49.7|0.0|50.0|0.0,总管效率_pct,51,1.51,1.57,-0.2107,3.12
0101010,0.0|44.0|0.0|48.9|0.0|50.0|0.0,170:1_瞬时流量,80,29.42,37.0,-0.4066,1.43
0101010,0.0|44.0|0.0|48.9|0.0|50.0|0.0,170:2_瞬时流量,80,6.59,8.26,-0.3308,1.49
0101010,0.0|44.0|0.0|48.9|0.0|50.0|0.0,70:3_瞬时流量,80,0.0,0.0,1.0,
0101010,0.0|44.0|0.0|48.9|0.0|50.0|0.0,总管效率_pct,80,3.8,4.26,-1.2989,7.02
0101010,0.0|44.2|0.0|48.9|0.0|50.0|0.0,170:1_瞬时流量,86,16.44,20.86,0.1382,0.79
0101010,0.0|44.2|0.0|48.9|0.0|50.0|0.0,170:2_瞬时流量,86,8.07,9.51,-0.1909,1.82
0101010,0.0|44.2|0.0|48.9|0.0|50.0|0.0,70:3_瞬时流量,86,0.0,0.0,0.0,
0101010,0.0|44.2|0.0|48.9|0.0|50.0|0.0,总管效率_pct,86,1.47,1.77,-0.3594,3.04
0101010,0.0|44.4|0.0|49.8|0.0|50.0|0.0,170:1_瞬时流量,63,13.97,16.42,0.0708,0.67
0101010,0.0|44.4|0.0|49.8|0.0|50.0|0.0,170:2_瞬时流量,63,4.19,5.21,0.0773,0.91
0101010,0.0|44.4|0.0|49.8|0.0|50.0|0.0,70:3_瞬时流量,63,0.0,0.0,1.0,
0101010,0.0|44.4|0.0|49.8|0.0|50.0|0.0,总管效率_pct,63,3.06,3.82,-0.3417,5.81
0101010,0.0|44.5|0.0|49.0|0.0|50.0|0.0,170:1_瞬时流量,155,18.7,22.82,0.5612,0.9
0101010,0.0|44.5|0.0|49.0|0.0|50.0|0.0,170:2_瞬时流量,155,4.25,6.34,-0.0819,0.95
0101010,0.0|44.5|0.0|49.0|0.0|50.0|0.0,70:3_瞬时流量,155,0.0,0.0,0.0,
0101010,0.0|44.5|0.0|49.0|0.0|50.0|0.0,总管效率_pct,155,2.32,2.77,-0.0698,4.81
0101010,0.0|44.5|0.0|50.0|0.0|50.0|0.0,170:1_瞬时流量,66,20.88,24.94,0.1532,0.98
0101010,0.0|44.5|0.0|50.0|0.0|50.0|0.0,170:2_瞬时流量,66,5.68,7.54,0.3121,1.28
0101010,0.0|44.5|0.0|50.0|0.0|50.0|0.0,70:3_瞬时流量,66,0.0,0.0,1.0,
0101010,0.0|44.5|0.0|50.0|0.0|50.0|0.0,总管效率_pct,66,1.55,1.73,0.2634,3.16
0101010,0.0|44.8|0.0|49.1|0.0|50.0|0.0,170:1_瞬时流量,103,26.0,31.2,0.5903,1.25
0101010,0.0|44.8|0.0|49.1|0.0|50.0|0.0,170:2_瞬时流量,103,6.12,9.39,0.0957,1.36
0101010,0.0|44.8|0.0|49.1|0.0|50.0|0.0,70:3_瞬时流量,103,0.0,0.0,1.0,
0101010,0.0|44.8|0.0|49.1|0.0|50.0|0.0,总管效率_pct,103,1.1,1.36,-1.0111,2.16
0101010,0.0|45.0|0.0|49.1|0.0|50.0|0.0,170:1_瞬时流量,248,21.73,28.41,0.6085,1.05
0101010,0.0|45.0|0.0|49.1|0.0|50.0|0.0,170:2_瞬时流量,248,5.03,6.25,0.0074,1.08
0101010,0.0|45.0|0.0|49.1|0.0|50.0|0.0,70:3_瞬时流量,248,0.0,0.0,0.0,
0101010,0.0|45.0|0.0|49.1|0.0|50.0|0.0,总管效率_pct,248,2.31,2.93,-0.2324,4.9
0101010,0.0|45.1|0.0|49.0|0.0|50.0|0.0,170:1_瞬时流量,230,13.5,16.42,0.7589,0.64
0101010,0.0|45.1|0.0|49.0|0.0|50.0|0.0,170:2_瞬时流量,230,4.78,5.71,0.236,1.03
0101010,0.0|45.1|0.0|49.0|0.0|50.0|0.0,70:3_瞬时流量,230,0.0,0.0,0.0,
0101010,0.0|45.1|0.0|49.0|0.0|50.0|0.0,总管效率_pct,230,2.68,3.23,0.0459,5.47
0101010,0.0|45.1|0.0|49.6|0.0|50.0|0.0,170:1_瞬时流量,73,13.04,16.57,-1.972,0.61
0101010,0.0|45.1|0.0|49.6|0.0|50.0|0.0,170:2_瞬时流量,73,6.21,9.5,-0.5841,1.39
0101010,0.0|45.1|0.0|49.6|0.0|50.0|0.0,70:3_瞬时流量,73,0.0,0.0,1.0,
0101010,0.0|45.1|0.0|49.6|0.0|50.0|0.0,总管效率_pct,73,1.82,2.46,-0.386,3.9
0101010,0.0|45.3|0.0|49.1|0.0|50.0|0.0,170:1_瞬时流量,357,16.02,22.03,0.7453,0.75
0101010,0.0|45.3|0.0|49.1|0.0|50.0|0.0,170:2_瞬时流量,357,4.75,6.07,0.1291,1.02
0101010,0.0|45.3|0.0|49.1|0.0|50.0|0.0,70:3_瞬时流量,357,0.0,0.0,0.0,
0101010,0.0|45.3|0.0|49.1|0.0|50.0|0.0,总管效率_pct,357,3.0,3.74,-0.1492,5.81
0101010,0.0|45.4|0.0|49.1|0.0|50.0|0.0,170:1_瞬时流量,418,17.58,23.59,0.56,0.82
0101010,0.0|45.4|0.0|49.1|0.0|50.0|0.0,170:2_瞬时流量,418,4.39,5.43,0.0157,0.94
0101010,0.0|45.4|0.0|49.1|0.0|50.0|0.0,70:3_瞬时流量,418,0.0,0.0,0.0,
