泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
1101000,46.5|42.4|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,67,43.33,46.0,-7.6914,2.31
1101000,46.5|42.4|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,67,6.16,6.31,-4.0113,1.54
1101000,46.5|42.4|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,67,0.0,0.0,1.0,
1101000,46.5|42.4|0.0|50.0|0.0|0.0|0.0,总管效率_pct,67,1.4,1.5,-0.927,2.89
1101000,46.5|42.5|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,160,33.08,38.61,-2.2068,1.75
1101000,46.5|42.5|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,160,5.45,6.76,-0.5352,1.36
1101000,46.5|42.5|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,160,0.0,0.0,1.0,
1101000,46.5|42.5|0.0|50.0|0.0|0.0|0.0,总管效率_pct,160,1.71,1.98,-0.0483,3.41
1101000,46.5|42.6|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,129,28.16,31.43,-3.9183,1.48
1101000,46.5|42.6|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,129,3.12,5.52,-0.8023,0.77
1101000,46.5|42.6|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,129,0.0,0.0,1.0,
1101000,46.5|42.6|0.0|50.0|0.0|0.0|0.0,总管效率_pct,129,1.1,1.49,-0.0902,2.18
1101000,46.6|42.6|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,121,30.53,35.61,-2.0493,1.61
1101000,46.6|42.6|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,121,7.22,9.04,-2.2722,1.8
1101000,46.6|42.6|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,121,0.0,0.0,1.0,
1101000,46.6|42.6|0.0|50.0|0.0|0.0|0.0,总管效率_pct,121,1.73,2.12,-0.6344,3.38
1101000,46.7|42.7|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,53,43.81,51.15,-1.7746,2.32
1101000,46.7|42.7|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,53,8.62,9.99,-0.658,2.13
1101000,46.7|42.7|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,53,0.0,0.0,1.0,
1101000,46.7|42.7|0.0|50.0|0.0|0.0|0.0,总管效率_pct,53,1.84,2.06,-0.0164,3.74
