泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
0001110,0.0|0.0|0.0|49.7|47.8|50.0|0.0,170:2_瞬时流量,87,7.61,11.01,-0.1944,1.42
0001110,0.0|0.0|0.0|49.7|47.8|50.0|0.0,70:3_瞬时流量,87,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.7|47.8|50.0|0.0,总管效率_pct,87,1.88,2.5,-0.4228,3.7
0001110,0.0|0.0|0.0|49.7|48.4|50.0|0.0,170:1_瞬时流量,307,31.34,39.89,-0.147,1.63
0001110,0.0|0.0|0.0|49.7|48.4|50.0|0.0,170:2_瞬时流量,307,6.66,7.95,-0.1323,1.22
0001110,0.0|0.0|0.0|49.7|48.4|50.0|0.0,70:3_瞬时流量,307,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.7|48.4|50.0|0.0,总管效率_pct,307,2.02,2.43,-0.0289,4.25
0001110,0.0|0.0|0.0|49.7|48.9|50.0|0.0,170:1_瞬时流量,59,17.41,21.89,0.0467,0.89
0001110,0.0|0.0|0.0|49.7|48.9|50.0|0.0,170:2_瞬时流量,59,3.87,4.38,-0.6408,0.7
0001110,0.0|0.0|0.0|49.7|48.9|50.0|0.0,70:3_瞬时流量,59,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.7|48.9|50.0|0.0,总管效率_pct,59,2.27,2.67,-0.515,4.47
0001110,0.0|0.0|0.0|49.8|44.2|50.0|0.0,170:1_瞬时流量,70,10.73,18.27,0.5298,0.52
0001110,0.0|0.0|0.0|49.8|44.2|50.0|0.0,170:2_瞬时流量,70,8.43,10.63,-1.1616,1.7
0001110,0.0|0.0|0.0|49.8|44.2|50.0|0.0,70:3_瞬时流量,70,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.8|44.2|50.0|0.0,总管效率_pct,70,2.12,2.33,-2.3427,3.96
0001110,0.0|0.0|0.0|49.8|48.1|50.0|0.0,170:1_瞬时流量,54,61.65,85.58,-0.0237,3.05
0001110,0.0|0.0|0.0|49.8|48.1|50.0|0.0,170:2_瞬时流量,54,8.42,9.56,-0.5908,1.56
0001110,0.0|0.0|0.0|49.8|48.1|50.0|0.0,70:3_瞬时流量,54,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.8|48.1|50.0|0.0,总管效率_pct,54,2.74,3.35,-0.0922,5.48
0001110,0.0|0.0|0.0|49.8|48.5|50.0|0.0,170:1_瞬时流量,183,29.51,34.38,-0.1852,1.52
0001110,0.0|0.0|0.0|49.8|48.5|50.0|0.0,170:2_瞬时流量,183,5.85,7.32,-0.3269,1.07
0001110,0.0|0.0|0.0|49.8|48.5|50.0|0.0,70:3_瞬时流量,183,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.8|48.5|50.0|0.0,总管效率_pct,183,2.47,2.87,0.0155,5.16
0001110,0.0|0.0|0.0|49.8|48.7|50.0|0.0,170:1_瞬时流量,286,29.23,36.14,0.0067,1.5
0001110,0.0|0.0|0.0|49.8|48.7|50.0|0.0,170:2_瞬时流量,286,5.63,6.89,-0.0401,1.02
0001110,0.0|0.0|0.0|49.8|48.7|50.0|0.0,70:3_瞬时流量,286,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.8|48.7|50.0|0.0,总管效率_pct,286,2.27,2.95,0.0118,4.74
0001110,0.0|0.0|0.0|49.9|44.9|50.0|0.0,170:1_瞬时流量,61,12.3,15.09,-1.3611,0.6
0001110,0.0|0.0|0.0|49.9|44.9|50.0|0.0,170:2_瞬时流量,61,5.24,6.6,-0.5573,1.04
0001110,0.0|0.0|0.0|49.9|44.9|50.0|0.0,70:3_瞬时流量,61,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.9|44.9|50.0|0.0,总管效率_pct,61,2.81,3.13,-0.1815,5.42
0001110,0.0|0.0|0.0|49.9|45.0|50.0|0.0,170:1_瞬时流量,50,13.12,15.6,-4.0656,0.63
0001110,0.0|0.0|0.0|49.9|45.0|50.0|0.0,170:2_瞬时流量,50,4.57,5.9,-0.9421,0.9
0001110,0.0|0.0|0.0|49.9|45.0|50.0|0.0,70:3_瞬时流量,50,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.9|45.0|50.0|0.0,总管效率_pct,50,1.97,2.17,-0.1283,3.86
0001110,0.0|0.0|0.0|49.9|47.3|50.0|0.0,170:1_瞬时流量,69,35.32,37.35,-0.4728,1.85
0001110,0.0|0.0|0.0|49.9|47.3|50.0|0.0,170:2_瞬时流量,69,12.7,14.64,-2.805,2.5
0001110,0.0|0.0|0.0|49.9|47.3|50.0|0.0,70:3_瞬时流量,69,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.9|47.3|50.0|0.0,总管效率_pct,69,1.18,1.36,0.0406,2.45
0001110,0.0|0.0|0.0|49.9|48.9|50.0|0.0,170:1_瞬时流量,121,27.01,28.98,-0.1201,1.37
0001110,0.0|0.0|0.0|49.9|48.9|50.0|0.0,170:2_瞬时流量,121,4.34,5.89,-0.0726,0.79
0001110,0.0|0.0|0.0|49.9|48.9|50.0|0.0,70:3_瞬时流量,121,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.9|48.9|50.0|0.0,总管效率_pct,121,2.0,2.61,-0.0229,4.29
0001110,0.0|0.0|0.0|49.9|49.6|50.0|0.0,170:1_瞬时流量,167,31.43,37.4,0.0115,1.6
0001110,0.0|0.0|0.0|49.9|49.6|50.0|0.0,170:2_瞬时流量,167,4.65,6.93,-0.012,0.84
0001110,0.0|0.0|0.0|49.9|49.6|50.0|0.0,70:3_瞬时流量,167,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.9|49.6|50.0|0.0,总管效率_pct,167,3.22,3.65,-0.0195,6.93
0001110,0.0|0.0|0.0|49.9|50.0|50.0|0.0,170:1_瞬时流量,161,56.48,59.82,-0.1239,2.95
0001110,0.0|0.0|0.0|49.9|50.0|50.0|0.0,170:2_瞬时流量,161,16.78,17.43,-0.5953,3.09
0001110,0.0|0.0|0.0|49.9|50.0|50.0|0.0,70:3_瞬时流量,161,0.01,0.01,0.0,
0001110,0.0|0.0|0.0|49.9|50.0|50.0|0.0,总管效率_pct,161,3.31,3.67,-0.1106,7.25
0001110,0.0|0.0|0.0|50.0|34.0|50.0|0.0,170:1_瞬时流量,106,42.94,50.77,0.0549,2.26
0001110,0.0|0.0|0.0|50.0|34.0|50.0|0.0,170:2_瞬时流量,106,36.68,47.68,-0.2395,8.38
0001110,0.0|0.0|0.0|50.0|34.0|50.0|0.0,70:3_瞬时流量,106,0.0,0.02,0.0,
0001110,0.0|0.0|0.0|50.0|34.0|50.0|0.0,总管效率_pct,106,1.37,1.95,-1.2451,2.94
0001110,0.0|0.0|0.0|50.0|34.2|50.0|0.0,170:1_瞬时流量,345,33.78,39.56,-2.1363,1.81
0001110,0.0|0.0|0.0|50.0|34.2|50.0|0.0,170:2_瞬时流量,345,24.28,25.99,-15.7681,6.71
0001110,0.0|0.0|0.0|50.0|34.2|50.0|0.0,70:3_瞬时流量,345,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|50.0|34.2|50.0|0.0,总管效率_pct,345,1.45,1.78,0.5816,3.14
0001110,0.0|0.0|0.0|50.0|41.8|50.0|0.0,170:1_瞬时流量,114,26.85,37.93,0.0096,1.33
0001110,0.0|0.0|0.0|50.0|41.8|50.0|0.0,170:2_瞬时流量,114,15.4,17.84,-0.4464,3.78
0001110,0.0|0.0|0.0|50.0|41.8|50.0|0.0,70:3_瞬时流量,114,0.01,0.01,0.0,
0001110,0.0|0.0|0.0|50.0|41.8|50.0|0.0,总管效率_pct,114,3.26,4.19,0.0992,6.5
0001110,0.0|0.0|0.0|50.0|44.1|50.0|0.0,170:1_瞬时流量,75,42.23,52.53,-0.1234,2.09
