泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
1001100,46.7|0.0|0.0|50.0|41.5|0.0|0.0,170:1_瞬时流量,53,48.26,50.33,-8.6652,2.56
1001100,46.7|0.0|0.0|50.0|41.5|0.0|0.0,170:2_瞬时流量,53,17.41,18.15,-9.0392,4.81
1001100,46.7|0.0|0.0|50.0|41.5|0.0|0.0,70:3_瞬时流量,53,0.0,0.0,1.0,
1001100,46.7|0.0|0.0|50.0|41.5|0.0|0.0,总管效率_pct,53,3.42,3.89,-0.9633,7.1
1001100,47.2|0.0|0.0|50.0|41.8|0.0|0.0,170:1_瞬时流量,109,10.18,13.69,-0.3933,0.51
1001100,47.2|0.0|0.0|50.0|41.8|0.0|0.0,170:2_瞬时流量,109,11.69,13.49,-3.1975,2.84
1001100,47.2|0.0|0.0|50.0|41.8|0.0|0.0,70:3_瞬时流量,109,0.0,0.0,1.0,
1001100,47.2|0.0|0.0|50.0|41.8|0.0|0.0,总管效率_pct,109,2.45,2.78,0.0021,4.81
1001100,47.7|0.0|0.0|50.0|43.7|0.0|0.0,170:1_瞬时流量,56,29.04,33.39,-0.9674,1.44
1001100,47.7|0.0|0.0|50.0|43.7|0.0|0.0,170:2_瞬时流量,56,11.98,12.51,-4.8647,2.92
1001100,47.7|0.0|0.0|50.0|43.7|0.0|0.0,70:3_瞬时流量,56,0.0,0.0,1.0,
1001100,47.7|0.0|0.0|50.0|43.7|0.0|0.0,总管效率_pct,56,0.83,0.86,-0.0738,1.58
1001100,47.8|0.0|0.0|50.0|43.8|0.0|0.0,170:1_瞬时流量,54,33.93,36.22,-8.108,1.67
1001100,47.8|0.0|0.0|50.0|43.8|0.0|0.0,170:2_瞬时流量,54,11.43,12.16,-8.9704,2.76
1001100,47.8|0.0|0.0|50.0|43.8|0.0|0.0,70:3_瞬时流量,54,0.0,0.0,1.0,
1001100,47.8|0.0|0.0|50.0|43.8|0.0|0.0,总管效率_pct,54,1.23,1.44,-0.2673,2.4
1001100,47.8|0.0|0.0|50.0|44.0|0.0|0.0,170:1_瞬时流量,76,12.34,17.31,-0.417,0.6
1001100,47.8|0.0|0.0|50.0|44.0|0.0|0.0,170:2_瞬时流量,76,6.95,9.29,-1.2048,1.66
1001100,47.8|0.0|0.0|50.0|44.0|0.0|0.0,70:3_瞬时流量,76,0.0,0.0,1.0,
1001100,47.8|0.0|0.0|50.0|44.0|0.0|0.0,总管效率_pct,76,1.17,1.54,-0.5422,2.3
1001100,47.9|0.0|0.0|50.0|43.5|0.0|0.0,170:1_瞬时流量,118,24.73,29.54,-0.043,1.2
1001100,47.9|0.0|0.0|50.0|43.5|0.0|0.0,170:2_瞬时流量,118,7.03,8.26,0.146,1.63
1001100,47.9|0.0|0.0|50.0|43.5|0.0|0.0,70:3_瞬时流量,118,0.0,0.0,1.0,
1001100,47.9|0.0|0.0|50.0|43.5|0.0|0.0,总管效率_pct,118,1.66,2.13,0.0096,3.09
1001100,47.9|0.0|0.0|50.0|43.6|0.0|0.0,170:1_瞬时流量,104,20.37,25.6,-0.0189,0.98
1001100,47.9|0.0|0.0|50.0|43.6|0.0|0.0,170:2_瞬时流量,104,5.5,7.15,0.1545,1.27
1001100,47.9|0.0|0.0|50.0|43.6|0.0|0.0,70:3_瞬时流量,104,0.0,0.0,1.0,
1001100,47.9|0.0|0.0|50.0|43.6|0.0|0.0,总管效率_pct,104,2.14,3.06,0.0369,4.1
1001100,48.0|0.0|0.0|50.0|43.5|0.0|0.0,170:1_瞬时流量,70,20.8,24.66,-1.7646,1.01
1001100,48.0|0.0|0.0|50.0|43.5|0.0|0.0,170:2_瞬时流量,70,6.02,8.64,0.1123,1.4
1001100,48.0|0.0|0.0|50.0|43.5|0.0|0.0,70:3_瞬时流量,70,0.0,0.0,1.0,
1001100,48.0|0.0|0.0|50.0|43.5|0.0|0.0,总管效率_pct,70,1.35,1.55,-0.008,2.64
1001100,48.0|0.0|0.0|50.0|43.7|0.0|0.0,170:1_瞬时流量,271,19.96,25.28,-0.0295,0.95
1001100,48.0|0.0|0.0|50.0|43.7|0.0|0.0,170:2_瞬时流量,271,4.81,6.17,-0.1462,1.1
1001100,48.0|0.0|0.0|50.0|43.7|0.0|0.0,70:3_瞬时流量,271,0.0,0.0,1.0,
1001100,48.0|0.0|0.0|50.0|43.7|0.0|0.0,总管效率_pct,271,2.06,2.52,0.0102,3.96
1001100,48.1|0.0|0.0|50.0|44.0|0.0|0.0,170:1_瞬时流量,94,14.77,16.91,-0.05,0.7
1001100,48.1|0.0|0.0|50.0|44.0|0.0|0.0,170:2_瞬时流量,94,5.29,7.25,-0.0564,1.2
1001100,48.1|0.0|0.0|50.0|44.0|0.0|0.0,70:3_瞬时流量,94,0.0,0.0,1.0,
1001100,48.1|0.0|0.0|50.0|44.0|0.0|0.0,总管效率_pct,94,2.53,3.06,-0.0563,4.82
1001100,48.3|0.0|0.0|50.0|44.3|0.0|0.0,170:1_瞬时流量,191,16.71,20.95,0.1182,0.79
1001100,48.3|0.0|0.0|50.0|44.3|0.0|0.0,170:2_瞬时流量,191,7.18,8.58,-0.0826,1.63
1001100,48.3|0.0|0.0|50.0|44.3|0.0|0.0,70:3_瞬时流量,191,0.0,0.0,1.0,
1001100,48.3|0.0|0.0|50.0|44.3|0.0|0.0,总管效率_pct,191,3.21,3.97,-0.033,6.23
1001100,48.4|0.0|0.0|50.0|44.4|0.0|0.0,170:1_瞬时流量,112,18.57,21.09,0.041,0.87
1001100,48.4|0.0|0.0|50.0|44.4|0.0|0.0,170:2_瞬时流量,112,7.49,9.81,-0.5462,1.71
1001100,48.4|0.0|0.0|50.0|44.4|0.0|0.0,70:3_瞬时流量,112,0.0,0.0,1.0,
1001100,48.4|0.0|0.0|50.0|44.4|0.0|0.0,总管效率_pct,112,2.66,3.3,-0.0789,5.19
1001100,48.5|0.0|0.0|50.0|46.8|0.0|0.0,170:1_瞬时流量,78,28.33,37.37,-1.3293,1.36
1001100,48.5|0.0|0.0|50.0|46.8|0.0|0.0,170:2_瞬时流量,78,13.37,13.59,-31.9434,3.06
1001100,48.5|0.0|0.0|50.0|46.8|0.0|0.0,70:3_瞬时流量,78,0.0,0.0,1.0,
1001100,48.5|0.0|0.0|50.0|46.8|0.0|0.0,总管效率_pct,78,1.97,2.12,-0.0928,3.83
1001100,48.5|0.0|0.0|50.0|46.9|0.0|0.0,170:1_瞬时流量,80,34.88,43.34,-1.8799,1.68
1001100,48.5|0.0|0.0|50.0|46.9|0.0|0.0,170:2_瞬时流量,80,14.46,14.69,-41.2147,3.32
1001100,48.5|0.0|0.0|50.0|46.9|0.0|0.0,70:3_瞬时流量,80,0.0,0.0,1.0,
1001100,48.5|0.0|0.0|50.0|46.9|0.0|0.0,总管效率_pct,80,1.99,2.23,-0.7814,3.93
1001100,48.7|0.0|0.0|50.0|45.1|0.0|0.0,170:1_瞬时流量,67,30.81,35.49,-0.0026,1.42
1001100,48.7|0.0|0.0|50.0|45.1|0.0|0.0,170:2_瞬时流量,67,2.7,3.09,-0.1495,0.59
1001100,48.7|0.0|0.0|50.0|45.1|0.0|0.0,70:3_瞬时流量,67,0.0,0.0,1.0,
1001100,48.7|0.0|0.0|50.0|45.1|0.0|0.0,总管效率_pct,67,2.16,2.64,-1.5961,3.89
1001100,48.9|0.0|0.0|50.0|47.5|0.0|0.0,170:1_瞬时流量,84,14.9,21.52,0.1299,0.7
1001100,48.9|0.0|0.0|50.0|47.5|0.0|0.0,170:2_瞬时流量,84,6.51,7.68,-1.3241,1.45
1001100,48.9|0.0|0.0|50.0|47.5|0.0|0.0,70:3_瞬时流量,84,0.0,0.0,1.0,
1001100,48.9|0.0|0.0|50.0|47.5|0.0|0.0,总管效率_pct,84,2.02,2.39,-0.0123,3.86
1001100,49.0|0.0|0.0|50.0|47.9|0.0|0.0,170:1_瞬时流量,99,18.79,20.71,-0.2961,0.86
1001100,49.0|0.0|0.0|50.0|47.9|0.0|0.0,170:2_瞬时流量,99,4.31,5.09,0.0165,0.94
1001100,49.0|0.0|0.0|50.0|47.9|0.0|0.0,70:3_瞬时流量,99,0.0,0.0,1.0,
1001100,49.0|0.0|0.0|50.0|47.9|0.0|0.0,总管效率_pct,99,1.68,1.8,-0.0683,3.18
1001100,49.1|0.0|0.0|50.0|48.1|0.0|0.0,170:1_瞬时流量,135,13.54,15.35,-0.3013,0.62
1001100,49.1|0.0|0.0|50.0|48.1|0.0|0.0,170:2_瞬时流量,135,4.6,5.45,-0.3301,0.99
1001100,49.1|0.0|0.0|50.0|48.1|0.0|0.0,70:3_瞬时流量,135,0.0,0.0,1.0,
1001100,49.1|0.0|0.0|50.0|48.1|0.0|0.0,总管效率_pct,135,3.17,3.61,-0.0175,5.99
1001100,49.1|0.0|0.0|50.0|48.2|0.0|0.0,170:1_瞬时流量,67,14.36,18.4,-0.101,0.66
1001100,49.1|0.0|0.0|50.0|48.2|0.0|0.0,170:2_瞬时流量,67,5.88,7.19,-2.2729,1.25
1001100,49.1|0.0|0.0|50.0|48.2|0.0|0.0,70:3_瞬时流量,67,0.0,0.0,0.0,
1001100,49.1|0.0|0.0|50.0|48.2|0.0|0.0,总管效率_pct,67,1.83,2.46,-0.2061,3.69
1001100,49.2|0.0|0.0|50.0|48.2|0.0|0.0,170:1_瞬时流量,73,11.26,14.84,0.2576,0.51
1001100,49.2|0.0|0.0|50.0|48.2|0.0|0.0,170:2_瞬时流量,73,4.11,5.85,-0.559,0.89
1001100,49.2|0.0|0.0|50.0|48.2|0.0|0.0,70:3_瞬时流量,73,0.0,0.0,0.0,
1001100,49.2|0.0|0.0|50.0|48.2|0.0|0.0,总管效率_pct,73,1.7,2.04,-0.2739,3.14
1001100,49.4|0.0|0.0|50.0|48.8|0.0|0.0,170:1_瞬时流量,266,15.05,17.63,-0.0375,0.68
1001100,49.4|0.0|0.0|50.0|48.8|0.0|0.0,170:2_瞬时流量,266,5.91,6.6,-0.1847,1.24
1001100,49.4|0.0|0.0|50.0|48.8|0.0|0.0,70:3_瞬时流量,266,0.0,0.0,0.0,
1001100,49.4|0.0|0.0|50.0|48.8|0.0|0.0,总管效率_pct,266,1.98,2.28,-0.052,3.71
1001100,49.6|0.0|0.0|50.0|49.3|0.0|0.0,170:1_瞬时流量,66,18.67,22.75,-0.078,0.84
1001100,49.6|0.0|0.0|50.0|49.3|0.0|0.0,170:2_瞬时流量,66,5.31,6.59,-0.0088,1.11
1001100,49.6|0.0|0.0|50.0|49.3|0.0|0.0,70:3_瞬时流量,66,0.0,0.0,0.0,
1001100,49.6|0.0|0.0|50.0|49.3|0.0|0.0,总管效率_pct,66,1.62,1.8,-0.0513,3.09
1001100,49.7|0.0|0.0|50.0|49.6|0.0|0.0,170:1_瞬时流量,79,18.3,22.33,0.0663,0.81
1001100,49.7|0.0|0.0|50.0|49.6|0.0|0.0,170:2_瞬时流量,79,4.13,5.07,-0.2385,0.85
1001100,49.7|0.0|0.0|50.0|49.6|0.0|0.0,70:3_瞬时流量,79,0.0,0.0,0.0,
1001100,49.7|0.0|0.0|50.0|49.6|0.0|0.0,总管效率_pct,79,1.43,1.71,0.0193,2.73
1001100,49.8|0.0|0.0|50.0|49.7|0.0|0.0,170:1_瞬时流量,387,20.26,27.57,-0.3444,0.89
1001100,49.8|0.0|0.0|50.0|49.7|0.0|0.0,170:2_瞬时流量,387,5.11,6.72,0.0565,1.06
1001100,49.8|0.0|0.0|50.0|49.7|0.0|0.0,70:3_瞬时流量,387,0.0,0.0,0.0,
1001100,49.8|0.0|0.0|50.0|49.7|0.0|0.0,总管效率_pct,387,2.17,2.5,-0.0104,4.19
1001100,49.9|0.0|0.0|50.0|45.4|0.0|0.0,170:1_瞬时流量,50,44.0,45.8,-8.6465,2.09
1001100,49.9|0.0|0.0|50.0|45.4|0.0|0.0,170:2_瞬时流量,50,16.54,19.47,-2.9321,3.77
1001100,49.9|0.0|0.0|50.0|45.4|0.0|0.0,70:3_瞬时流量,50,0.0,0.0,1.0,
1001100,49.9|0.0|0.0|50.0|45.4|0.0|0.0,总管效率_pct,50,2.02,2.21,-0.4767,3.86
1001100,49.9|0.0|0.0|50.0|49.7|0.0|0.0,170:1_瞬时流量,242,20.84,26.04,-0.0206,0.92
1001100,49.9|0.0|0.0|50.0|49.7|0.0|0.0,170:2_瞬时流量,242,5.34,6.61,-0.2747,1.1
1001100,49.9|0.0|0.0|50.0|49.7|0.0|0.0,70:3_瞬时流量,242,0.0,0.0,0.0,
1001100,49.9|0.0|0.0|50.0|49.7|0.0|0.0,总管效率_pct,242,2.29,2.54,-0.0616,4.48
1001100,49.9|0.0|0.0|50.0|49.9|0.0|0.0,170:1_瞬时流量,523,19.04,22.42,-0.2475,0.83
1001100,49.9|0.0|0.0|50.0|49.9|0.0|0.0,170:2_瞬时流量,523,5.2,6.58,0.1164,1.05
1001100,49.9|0.0|0.0|50.0|49.9|0.0|0.0,70:3_瞬时流量,523,0.0,0.0,0.0,
1001100,49.9|0.0|0.0|50.0|49.9|0.0|0.0,总管效率_pct,523,1.66,2.08,0.0039,3.18
1001100,50.0|0.0|0.0|50.0|44.4|0.0|0.0,170:1_瞬时流量,50,36.48,51.98,0.1632,1.75
1001100,50.0|0.0|0.0|50.0|44.4|0.0|0.0,170:2_瞬时流量,50,14.68,16.69,0.0112,3.22
1001100,50.0|0.0|0.0|50.0|44.4|0.0|0.0,70:3_瞬时流量,50,0.0,0.0,1.0,
1001100,50.0|0.0|0.0|50.0|44.4|0.0|0.0,总管效率_pct,50,2.76,3.07,0.0024,5.37
1001100,50.0|0.0|0.0|50.0|45.9|0.0|0.0,170:1_瞬时流量,106,27.87,38.51,-0.0088,1.26
1001100,50.0|0.0|0.0|50.0|45.9|0.0|0.0,170:2_瞬时流量,106,7.96,14.07,-0.3402,1.71
1001100,50.0|0.0|0.0|50.0|45.9|0.0|0.0,70:3_瞬时流量,106,0.0,0.0,0.0,
1001100,50.0|0.0|0.0|50.0|45.9|0.0|0.0,总管效率_pct,106,2.59,3.0,0.0414,5.26
1001100,50.0|0.0|0.0|50.0|46.8|0.0|0.0,170:1_瞬时流量,146,30.22,38.24,-0.0194,1.34
1001100,50.0|0.0|0.0|50.0|46.8|0.0|0.0,170:2_瞬时流量,146,5.06,6.71,-0.192,1.03
1001100,50.0|0.0|0.0|50.0|46.8|0.0|0.0,70:3_瞬时流量,146,0.0,0.0,1.0,
1001100,50.0|0.0|0.0|50.0|46.8|0.0|0.0,总管效率_pct,146,2.32,2.65,-0.0051,4.52
1001100,50.0|0.0|0.0|50.0|46.9|0.0|0.0,170:1_瞬时流量,231,29.6,38.08,-0.0855,1.32
1001100,50.0|0.0|0.0|50.0|46.9|0.0|0.0,170:2_瞬时流量,231,5.67,7.73,-0.0785,1.15
1001100,50.0|0.0|0.0|50.0|46.9|0.0|0.0,70:3_瞬时流量,231,0.0,0.0,1.0,
1001100,50.0|0.0|0.0|50.0|46.9|0.0|0.0,总管效率_pct,231,2.39,2.51,0.0668,4.59
1001100,50.0|0.0|0.0|50.0|47.4|0.0|0.0,170:1_瞬时流量,167,20.93,28.93,-0.1382,0.93
1001100,50.0|0.0|0.0|50.0|47.4|0.0|0.0,170:2_瞬时流量,167,10.11,11.75,0.0216,2.04
1001100,50.0|0.0|0.0|50.0|47.4|0.0|0.0,70:3_瞬时流量,167,0.0,0.0,1.0,
1001100,50.0|0.0|0.0|50.0|47.4|0.0|0.0,总管效率_pct,167,3.24,3.63,-0.0027,6.39
1001100,50.0|0.0|0.0|50.0|48.5|0.0|0.0,170:1_瞬时流量,54,35.67,43.32,-0.2526,1.56
1001100,50.0|0.0|0.0|50.0|48.5|0.0|0.0,170:2_瞬时流量,54,7.24,10.15,-0.9793,1.42
1001100,50.0|0.0|0.0|50.0|48.5|0.0|0.0,70:3_瞬时流量,54,0.0,0.0,1.0,
1001100,50.0|0.0|0.0|50.0|48.5|0.0|0.0,总管效率_pct,54,1.55,1.88,-0.4411,2.88
