泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
0110010,0.0|34.1|50.0|0.0|0.0|50.0|0.0,170:1_瞬时流量,318,37.7,41.25,-0.2202,2.22
0110010,0.0|34.1|50.0|0.0|0.0|50.0|0.0,170:2_瞬时流量,318,9.2,10.63,-0.5093,1.57
0110010,0.0|34.1|50.0|0.0|0.0|50.0|0.0,70:3_瞬时流量,318,0.0,0.0,1.0,
0110010,0.0|34.1|50.0|0.0|0.0|50.0|0.0,总管效率_pct,318,1.51,1.73,-0.0901,3.41
0110010,0.0|40.4|48.2|0.0|0.0|50.0|0.0,170:1_瞬时流量,165,56.31,62.02,-4.5551,3.39
0110010,0.0|40.4|48.2|0.0|0.0|50.0|0.0,170:2_瞬时流量,165,8.39,9.32,-3.1327,1.47
0110010,0.0|40.4|48.2|0.0|0.0|50.0|0.0,70:3_瞬时流量,165,0.0,0.0,0.0,
0110010,0.0|40.4|48.2|0.0|0.0|50.0|0.0,总管效率_pct,165,2.61,3.17,-0.5613,6.06
0110010,0.0|40.7|48.4|0.0|0.0|50.0|0.0,170:1_瞬时流量,95,21.76,32.03,-0.2032,1.27
0110010,0.0|40.7|48.4|0.0|0.0|50.0|0.0,170:2_瞬时流量,95,7.13,9.54,-0.3211,1.24
0110010,0.0|40.7|48.4|0.0|0.0|50.0|0.0,70:3_瞬时流量,95,0.0,0.0,0.0,
0110010,0.0|40.7|48.4|0.0|0.0|50.0|0.0,总管效率_pct,95,1.71,2.32,-0.0231,3.82
0110010,0.0|40.9|48.4|0.0|0.0|50.0|0.0,170:1_瞬时流量,101,17.94,27.29,-0.2615,1.04
0110010,0.0|40.9|48.4|0.0|0.0|50.0|0.0,170:2_瞬时流量,101,10.71,13.53,-0.4961,1.86
0110010,0.0|40.9|48.4|0.0|0.0|50.0|0.0,70:3_瞬时流量,101,0.0,0.0,0.0,
0110010,0.0|40.9|48.4|0.0|0.0|50.0|0.0,总管效率_pct,101,2.65,3.15,-0.0163,5.59
0110010,0.0|41.6|48.4|0.0|0.0|50.0|0.0,170:1_瞬时流量,184,20.88,26.1,-0.0662,1.18
0110010,0.0|41.6|48.4|0.0|0.0|50.0|0.0,170:2_瞬时流量,184,6.26,7.18,-0.0513,1.06
0110010,0.0|41.6|48.4|0.0|0.0|50.0|0.0,70:3_瞬时流量,184,0.0,0.0,1.0,
0110010,0.0|41.6|48.4|0.0|0.0|50.0|0.0,总管效率_pct,184,3.91,4.27,-0.1377,8.05
0110010,0.0|41.7|48.4|0.0|0.0|50.0|0.0,170:1_瞬时流量,113,22.19,27.91,-0.6281,1.26
0110010,0.0|41.7|48.4|0.0|0.0|50.0|0.0,170:2_瞬时流量,113,5.96,7.21,-0.0644,1.0
0110010,0.0|41.7|48.4|0.0|0.0|50.0|0.0,70:3_瞬时流量,113,0.0,0.0,1.0,
0110010,0.0|41.7|48.4|0.0|0.0|50.0|0.0,总管效率_pct,113,2.36,2.84,-0.123,4.85
0110010,0.0|41.8|48.5|0.0|0.0|50.0|0.0,170:1_瞬时流量,251,21.43,25.06,0.0147,1.2
0110010,0.0|41.8|48.5|0.0|0.0|50.0|0.0,170:2_瞬时流量,251,7.1,8.86,-0.1039,1.2
0110010,0.0|41.8|48.5|0.0|0.0|50.0|0.0,70:3_瞬时流量,251,0.0,0.0,1.0,
0110010,0.0|41.8|48.5|0.0|0.0|50.0|0.0,总管效率_pct,251,1.93,2.47,0.0003,4.08
0110010,0.0|41.8|48.6|0.0|0.0|50.0|0.0,170:1_瞬时流量,85,28.86,31.54,-0.0094,1.6
0110010,0.0|41.8|48.6|0.0|0.0|50.0|0.0,170:2_瞬时流量,85,5.92,7.58,-1.9871,1.0
0110010,0.0|41.8|48.6|0.0|0.0|50.0|0.0,70:3_瞬时流量,85,0.0,0.0,0.0,
0110010,0.0|41.8|48.6|0.0|0.0|50.0|0.0,总管效率_pct,85,2.55,3.16,-0.1244,5.79
0110010,0.0|42.0|48.5|0.0|0.0|50.0|0.0,170:1_瞬时流量,263,24.02,28.88,-0.2273,1.35
0110010,0.0|42.0|48.5|0.0|0.0|50.0|0.0,170:2_瞬时流量,263,6.55,8.46,-0.0155,1.11
0110010,0.0|42.0|48.5|0.0|0.0|50.0|0.0,70:3_瞬时流量,263,0.0,0.0,1.0,
0110010,0.0|42.0|48.5|0.0|0.0|50.0|0.0,总管效率_pct,263,2.78,3.23,-0.267,6.14
0110010,0.0|42.2|48.7|0.0|0.0|50.0|0.0,170:1_瞬时流量,111,31.91,44.37,-0.0858,1.81
0110010,0.0|42.2|48.7|0.0|0.0|50.0|0.0,170:2_瞬时流量,111,4.73,5.82,0.1832,0.78
0110010,0.0|42.2|48.7|0.0|0.0|50.0|0.0,70:3_瞬时流量,111,0.0,0.0,0.0,
0110010,0.0|42.2|48.7|0.0|0.0|50.0|0.0,总管效率_pct,111,2.59,2.97,-0.0406,5.7
0110010,0.0|42.3|48.5|0.0|0.0|50.0|0.0,170:1_瞬时流量,105,18.9,26.3,0.0283,1.04
0110010,0.0|42.3|48.5|0.0|0.0|50.0|0.0,170:2_瞬时流量,105,5.93,7.28,-0.16,0.97
0110010,0.0|42.3|48.5|0.0|0.0|50.0|0.0,70:3_瞬时流量,105,0.0,0.0,1.0,
0110010,0.0|42.3|48.5|0.0|0.0|50.0|0.0,总管效率_pct,105,2.72,3.27,-0.0581,5.63
0110010,0.0|42.3|48.6|0.0|0.0|50.0|0.0,170:1_瞬时流量,337,25.51,29.73,-0.1249,1.4
0110010,0.0|42.3|48.6|0.0|0.0|50.0|0.0,170:2_瞬时流量,337,5.12,6.25,0.1084,0.85
0110010,0.0|42.3|48.6|0.0|0.0|50.0|0.0,70:3_瞬时流量,337,0.0,0.0,1.0,
0110010,0.0|42.3|48.6|0.0|0.0|50.0|0.0,总管效率_pct,337,2.55,3.13,-0.0164,5.44
0110010,0.0|42.6|48.6|0.0|0.0|50.0|0.0,170:1_瞬时流量,147,24.28,28.42,0.0968,1.32
0110010,0.0|42.6|48.6|0.0|0.0|50.0|0.0,170:2_瞬时流量,147,4.76,5.85,0.3749,0.79
0110010,0.0|42.6|48.6|0.0|0.0|50.0|0.0,70:3_瞬时流量,147,0.0,0.0,1.0,
0110010,0.0|42.6|48.6|0.0|0.0|50.0|0.0,总管效率_pct,147,2.96,3.39,-0.1228,6.45
0110010,0.0|42.8|48.6|0.0|0.0|50.0|0.0,170:1_瞬时流量,155,26.19,32.97,0.024,1.42
0110010,0.0|42.8|48.6|0.0|0.0|50.0|0.0,170:2_瞬时流量,155,6.25,7.89,-0.0594,1.03
0110010,0.0|42.8|48.6|0.0|0.0|50.0|0.0,70:3_瞬时流量,155,0.0,0.0,1.0,
0110010,0.0|42.8|48.6|0.0|0.0|50.0|0.0,总管效率_pct,155,2.15,2.55,-0.0306,4.56
0110010,0.0|42.8|48.7|0.0|0.0|50.0|0.0,170:1_瞬时流量,424,23.26,30.46,-0.0327,1.28
0110010,0.0|42.8|48.7|0.0|0.0|50.0|0.0,170:2_瞬时流量,424,5.76,6.86,0.3653,0.94
0110010,0.0|42.8|48.7|0.0|0.0|50.0|0.0,70:3_瞬时流量,424,0.0,0.0,0.0,
0110010,0.0|42.8|48.7|0.0|0.0|50.0|0.0,总管效率_pct,424,2.51,2.87,-0.0238,5.29
0110010,0.0|42.8|49.8|0.0|0.0|50.0|0.0,170:1_瞬时流量,172,19.58,22.64,-0.6761,1.08
0110010,0.0|42.8|49.8|0.0|0.0|50.0|0.0,170:2_瞬时流量,172,3.12,4.1,-0.2217,0.5
0110010,0.0|42.8|49.8|0.0|0.0|50.0|0.0,70:3_瞬时流量,172,0.0,0.0,0.0,
0110010,0.0|42.8|49.8|0.0|0.0|50.0|0.0,总管效率_pct,172,2.26,2.66,-0.1516,4.76
0110010,0.0|43.2|48.8|0.0|0.0|50.0|0.0,170:1_瞬时流量,676,22.85,29.62,0.1025,1.22
0110010,0.0|43.2|48.8|0.0|0.0|50.0|0.0,170:2_瞬时流量,676,5.56,6.82,0.123,0.9
0110010,0.0|43.2|48.8|0.0|0.0|50.0|0.0,70:3_瞬时流量,676,0.0,0.0,0.0,
0110010,0.0|43.2|48.8|0.0|0.0|50.0|0.0,总管效率_pct,676,1.63,2.4,-0.0892,3.7
0110010,0.0|43.5|48.9|0.0|0.0|50.0|0.0,170:1_瞬时流量,182,31.05,43.51,0.0892,1.7
0110010,0.0|43.5|48.9|0.0|0.0|50.0|0.0,170:2_瞬时流量,182,5.62,6.8,0.3824,0.91
0110010,0.0|43.5|48.9|0.0|0.0|50.0|0.0,70:3_瞬时流量,182,0.0,0.0,0.0,
0110010,0.0|43.5|48.9|0.0|0.0|50.0|0.0,总管效率_pct,182,1.5,2.01,-0.4376,3.38
0110010,0.0|43.8|48.9|0.0|0.0|50.0|0.0,170:1_瞬时流量,580,20.71,26.75,0.1246,1.1
0110010,0.0|43.8|48.9|0.0|0.0|50.0|0.0,170:2_瞬时流量,580,5.83,7.69,0.3704,0.94
0110010,0.0|43.8|48.9|0.0|0.0|50.0|0.0,70:3_瞬时流量,580,0.0,0.0,0.0,
0110010,0.0|43.8|48.9|0.0|0.0|50.0|0.0,总管效率_pct,580,2.05,2.6,0.0068,4.44
0110010,0.0|44.0|49.0|0.0|0.0|50.0|0.0,170:1_瞬时流量,163,37.45,45.35,-0.0132,1.98
0110010,0.0|44.0|49.0|0.0|0.0|50.0|0.0,170:2_瞬时流量,163,4.45,5.48,0.4763,0.72
0110010,0.0|44.0|49.0|0.0|0.0|50.0|0.0,70:3_瞬时流量,163,0.0,0.0,0.0,
0110010,0.0|44.0|49.0|0.0|0.0|50.0|0.0,总管效率_pct,163,1.88,2.44,-0.1692,3.99
0110010,0.0|44.2|48.9|0.0|0.0|50.0|0.0,170:1_瞬时流量,515,28.01,36.08,-0.0037,1.47
0110010,0.0|44.2|48.9|0.0|0.0|50.0|0.0,170:2_瞬时流量,515,7.19,8.96,0.0708,1.16
0110010,0.0|44.2|48.9|0.0|0.0|50.0|0.0,70:3_瞬时流量,515,0.0,0.0,1.0,
0110010,0.0|44.2|48.9|0.0|0.0|50.0|0.0,总管效率_pct,515,2.56,3.08,0.0204,5.5
0110010,0.0|44.3|49.0|0.0|0.0|50.0|0.0,170:1_瞬时流量,455,31.86,37.93,-0.0123,1.65
0110010,0.0|44.3|49.0|0.0|0.0|50.0|0.0,170:2_瞬时流量,455,4.42,6.09,0.4448,0.71
0110010,0.0|44.3|49.0|0.0|0.0|50.0|0.0,70:3_瞬时流量,455,0.0,0.0,0.0,
0110010,0.0|44.3|49.0|0.0|0.0|50.0|0.0,总管效率_pct,455,1.97,2.54,0.0837,4.25
0110010,0.0|44.3|50.0|0.0|0.0|50.0|0.0,170:1_瞬时流量,91,40.64,43.78,0.0319,2.14
0110010,0.0|44.3|50.0|0.0|0.0|50.0|0.0,170:2_瞬时流量,91,7.89,9.34,0.0873,1.23
0110010,0.0|44.3|50.0|0.0|0.0|50.0|0.0,70:3_瞬时流量,91,0.0,0.0,0.0,
