泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
1001000,42.3|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,1225,42.0,55.36,-0.7973,3.06
1001000,42.3|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,1225,7.1,8.71,-1.4656,2.89
1001000,42.3|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,1225,0.0,0.0,0.0,
1001000,42.3|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,1225,2.96,3.57,-0.1543,6.99
1001000,42.5|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,2483,33.58,47.26,-0.5493,2.4
1001000,42.5|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,2483,6.56,7.61,-1.0958,2.6
1001000,42.5|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,2483,0.0,0.0,1.0,
1001000,42.5|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,2483,2.99,3.51,-0.0145,6.81
1001000,42.6|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,1971,43.96,54.58,-1.1926,3.12
1001000,42.6|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,1971,8.07,9.5,-1.2865,3.19
1001000,42.6|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,1971,0.0,0.0,1.0,
1001000,42.6|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,1971,3.09,3.56,-0.0682,7.05
1001000,43.1|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,3519,30.06,39.52,-0.3833,2.03
1001000,43.1|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,3519,6.06,7.56,0.1818,2.25
1001000,43.1|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,3519,0.0,0.0,1.0,
1001000,43.1|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,3519,2.52,3.12,-0.0121,5.5
1001000,44.6|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,3639,20.5,26.03,0.7039,1.24
1001000,44.6|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,3639,6.61,8.74,0.5907,2.21
1001000,44.6|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,3639,0.0,0.0,0.0,
1001000,44.6|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,3639,2.33,2.9,-0.0075,4.84
1001000,46.5|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,1675,25.5,32.2,0.8308,1.52
1001000,46.5|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,1675,5.61,7.13,0.775,1.76
1001000,46.5|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,1675,0.01,0.01,0.0,
1001000,46.5|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,1675,2.18,2.69,0.0621,4.49
1001000,46.6|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,1373,24.23,30.18,0.8244,1.44
1001000,46.6|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,1373,5.36,6.74,0.7455,1.71
1001000,46.6|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,1373,0.0,0.01,0.0,
1001000,46.6|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,1373,2.33,2.84,0.0361,4.79
1001000,46.9|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,978,21.76,30.0,0.8154,1.28
1001000,46.9|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,978,4.48,6.29,0.7235,1.42
1001000,46.9|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,978,0.0,0.0,0.0,
1001000,46.9|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,978,2.39,2.92,-0.0093,4.73
1001000,48.0|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,508,23.21,31.45,0.4699,1.27
1001000,48.0|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,508,6.26,7.84,0.5327,1.84
1001000,48.0|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,508,0.0,0.0,0.0,
1001000,48.0|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,508,1.86,2.53,0.0035,3.75
1001000,48.2|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,867,19.73,29.27,0.6779,1.08
1001000,48.2|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,867,4.96,6.43,0.6829,1.44
1001000,48.2|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,867,0.0,0.0,0.0,
1001000,48.2|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,867,2.22,2.63,0.1787,4.37
1001000,48.4|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,878,22.85,30.59,0.47,1.24
1001000,48.4|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,878,6.23,8.73,0.4788,1.77
1001000,48.4|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,878,0.0,0.0,0.0,
1001000,48.4|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,878,2.17,2.61,0.0528,4.38
1001000,48.7|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,1528,23.94,31.03,0.522,1.29
1001000,48.7|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,1528,6.12,7.49,0.6044,1.73
1001000,48.7|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,1528,0.0,0.01,0.0,
1001000,48.7|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,1528,1.85,2.4,0.0533,3.84
1001000,49.0|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,1022,37.23,46.56,0.5028,2.04
1001000,49.0|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,1022,8.91,11.18,0.5358,2.47
1001000,49.0|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,1022,0.01,0.01,0.0,
1001000,49.0|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,1022,2.52,3.09,0.0179,5.27
1001000,49.1|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,926,31.9,41.24,0.4406,1.74
1001000,49.1|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,926,7.81,10.25,0.4509,2.18
1001000,49.1|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,926,0.01,0.01,0.0,
1001000,49.1|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,926,2.31,2.8,0.0549,4.69
1001000,49.4|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,529,36.11,44.17,0.0922,1.95
1001000,49.4|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,529,7.53,9.5,0.1234,2.11
1001000,49.4|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,529,0.01,0.01,0.0,
1001000,49.4|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,529,2.41,3.02,-0.0994,5.06
1001000,49.6|0.0|0.0|50.0|0.0|0.0|0.0,170:1_瞬时流量,852,32.19,37.69,-0.6942,1.71
1001000,49.6|0.0|0.0|50.0|0.0|0.0|0.0,170:2_瞬时流量,852,8.55,10.21,-0.2669,2.34
1001000,49.6|0.0|0.0|50.0|0.0|0.0|0.0,70:3_瞬时流量,852,0.0,0.01,0.0,
1001000,49.6|0.0|0.0|50.0|0.0|0.0|0.0,总管效率_pct,852,2.06,2.6,-0.004,4.27
